"metric","D850_R425","D900_R450","D950_R475","D850_minus_D900","D950_minus_D900","D850_change_percent_vs_D900","D950_change_percent_vs_D900"
"odb_path","E:\abaqus\3Dfuxian2.0\SelfSupport_YanshanParam_LocalStaticPress_NoUnload_D850_10pct_RefinedZ.odb","E:\abaqus\3Dfuxian\SelfSupport_YanshanParam_LocalStaticPress_NoUnload_D900_10pct_RefinedZ.odb","E:\abaqus\3Dfuxian3.0\SelfSupport_YanshanParam_LocalStaticPress_NoUnload_D950_10pct_RefinedZ.odb","","","",""
"roll_diameter_mm","850","900","950","-50","50","-5.55555555555556","5.55555555555556"
"roll_radius_mm","425","450","475","-25","25","-5.55555555555556","5.55555555555556"
"film_Z_mesh_size_mm","0.5","0.5","0.5","0","0","0","0"
"roller_Z_mesh_size_mm","2","2","2","0","0","0","0"
"prescribed_upper_roll_U2_mm","-0.015","-0.015","-0.015","0","0","0","0"
"target_nominal_gap_mm","0.135","0.135","0.135","0","0","0","0"
"max_upper_RF2_model_N_signed","-8410.068359","-8390.780273","-8367.682617","-19.2880860000005","23.0976559999999","-0.229872376256425","0.275274232532628"
"max_upper_RF2_full_equiv_N_abs","33640.27344","33563.12109","33470.73047","77.1523499999967","-92.3906199999983","0.229872394146872","-0.275274220631185"
"line_force_full_equiv_N_per_mm","336.4027344","335.6312109","334.7073047","0.771523500000001","-0.923906199999976","0.229872394146882","-0.275274220631183"
"max_CPRESS_MPa","239.0234528","234.3752136","229.9168701","4.64823920000001","-4.45834349999998","1.98324691788142","-1.90222482638838"
"max_Mises_film_MPa","210.4087524","206.3560486","202.4693298","4.05270379999999","-3.88671880000001","1.96393748935159","-1.88350127188858"
"max_PRESS_from_S_MPa","96.25004069","94.36026001","92.54789225","1.88978068","-1.81236776","2.00272941151257","-1.92068966300849"
"min_PRESS_from_S_MPa","-0.6501953999","-0.7527385553","-0.6629042625","0.1025431554","0.0898342928","13.622678774456","11.9343286148266"
"LE22_max","0.0001137709987","0.0002223403571","0.0002291635901","-0.0001085693584","6.823233E-06","-48.8302527782528","3.06882344212984"
"LE22_min","-0.0339625366","-0.0332667008","-0.03260409832","-0.000695835800000003","0.000662602480000003","-2.09168863538161","1.99178897836483"
"PE22_max","0.002914872486","0.002862267429","0.002840852365","5.2605057E-05","-2.14150640000001E-05","1.83788057213015","-0.748185294743123"
"PE22_min","0","0","0","0","0","",""
"PEvol_max","0.0119972229","0.01188100874","0.01161408238","0.000116214159999999","-0.000266926360000001","0.978150614507496","-2.24666411616495"
"PEvol_min","0","0","0","0","0","",""
"PEvol_abs_max","0.0119972229","0.01188100874","0.01161408238","0.000116214159999999","-0.000266926360000001","0.978150614507496","-2.24666411616495"
"hold_global_average_thickness_mm","0.1492718096","0.1492739244","0.1492760874","-2.11480000000819E-06","2.16299999999947E-06","-0.00141672432644116","0.00144901395785872"
"hold_contact_X_0_to_2p6_average_thickness_mm","0.148624539","0.1486285344","0.1486326198","-3.99540000001197E-06","4.08539999999236E-06","-0.00268817829371799","0.00274873194200881"
"hold_center_X_0_to_0p5_average_thickness_mm","0.1468363423","0.1469041167","0.1469696287","-6.7774399999998E-05","6.55119999999898E-05","-0.0461351264501344","0.0445950743053546"
"profile_min_thickness_mm","0.1447680891","0.1448729634","0.1449729949","-0.000104874300000002","0.000100031500000014","-0.0723905258363769","0.0690477351000429"
"profile_max_thickness_mm","0.1468181312","0.1468911469","0.1469608843","-7.30156999999843E-05","6.97374000000195E-05","-0.0497073523768533","0.0474755636890051"
"ALLPD_final","-1.055172443","-1.0357126","-1.013458252","-0.0194598429999999","0.0222543480000001","-1.87888445114986","2.14869916615866"
"ALLIE_final","56.61881638","56.60068512","56.53747177","0.018131259999997","-0.0632133499999981","0.0320336405143447","-0.111683012080116"
"ALLSD_final","0","0","0","0","0","",""
"ALLSD_over_ALLIE","0","0","0","0","0","",""
