"Z_distance_from_center_mm","initial_thickness_um","D850_R425_hold_thickness_um","D900_R450_hold_thickness_um","D950_R475_hold_thickness_um","D850_minus_D900_um","D950_minus_D900_um"
"-50","150","144.7680891","144.8729634","144.9729949","-0.104874300000006","0.1000315"
"-49.5","150","145.2228427","145.3211308","145.4145163","-0.0982880999999907","0.0933855000000108"
"-49","150","145.6937045","145.7850337","145.8716393","-0.0913292000000183","0.0866055999999844"
"-48.5","150","146.1620629","146.2468505","146.3267952","-0.0847875999999985","0.0799446999999986"
"-48","150","146.6340721","146.7120051","146.7852294","-0.0779330000000016","0.0732242999999926"
"-47.5","150","146.6172934","146.6959715","146.7698365","-0.078678100000019","0.0738649999999836"
"-47","150","146.6047764","146.68414","146.758616","-0.079363600000022","0.0744759999999758"
"-46.5","150","146.5886533","146.6687918","146.7438936","-0.0801385000000039","0.0751017999999988"
"-46","150","146.5743929","146.6552615","146.7309892","-0.0808686000000023","0.0757277000000158"
"-45.5","150","146.6007382","146.6809809","146.7561424","-0.0802427000000137","0.0751614999999788"
"-45","150","146.6274261","146.7069387","146.7815936","-0.0795125999999868","0.074654900000013"
"-44.5","150","146.6538012","146.7325985","146.8067169","-0.0787972999999909","0.0741184000000032"
"-44","150","146.6804445","146.7586011","146.8321979","-0.0781565999999998","0.0735968000000184"
"-43.5","150","146.6886103","146.7665434","146.8400955","-0.0779330999999956","0.0735521000000006"
"-43","150","146.697104","146.7747986","146.848321","-0.0776946000000009","0.0735224000000017"
"-42.5","150","146.7053294","146.7827857","146.8562782","-0.0774562999999944","0.0734924999999862"
"-42","150","146.7137635","146.7909962","146.8644738","-0.0772326999999962","0.0734776000000181"
"-41.5","150","146.7196941","146.7966139","146.8699872","-0.0769198000000131","0.0733732999999859"
"-41","150","146.7256546","146.8022764","146.8755305","-0.0766217999999981","0.0732540999999856"
"-40.5","150","146.7315555","146.8078941","146.8810141","-0.0763385999999855","0.0731199999999887"
"-40","150","146.7374861","146.8135417","146.8865424","-0.0760555999999895","0.0730006999999944"
"-39.5","150","146.7419863","146.8178034","146.8907595","-0.0758170999999948","0.072956099999999"
"-39","150","146.7465162","146.8221396","146.8950212","-0.075623400000012","0.0728815999999881"
"-38.5","150","146.7510015","146.8264312","146.8992829","-0.0754297000000008","0.0728517000000011"
"-38","150","146.7555463","146.8307674","146.9035745","-0.0752211000000216","0.0728070999999773"
"-37.5","150","146.7583477","146.8334496","146.9061971","-0.0751018999999928","0.0727475000000197"
"-37","150","146.761179","146.8361318","146.9088495","-0.0749528000000055","0.0727176999999983"
"-36.5","150","146.7639804","146.838814","146.9114721","-0.0748336000000052","0.072658099999984"
"-36","150","146.7667818","146.8414962","146.9141245","-0.0747144000000048","0.0726283000000194"
"-35.5","150","146.7692554","146.8438506","146.9163746","-0.0745952000000045","0.0725240000000156"
"-35","150","146.7716992","146.846205","146.9186246","-0.0745057999999972","0.0724195999999893"
"-34.5","150","146.7741728","146.8485296","146.9208896","-0.0743568000000039","0.0723600000000033"
"-34","150","146.7766315","146.850884","146.9231248","-0.0742525000000001","0.072240800000003"
"-33.5","150","146.7784047","146.8526125","146.9247937","-0.0742077999999822","0.072181200000017"
"-33","150","146.780178","146.8543559","146.9264328","-0.0741778999999951","0.0720768999999848"
"-32.5","150","146.7819512","146.8560845","146.928072","-0.0741332999999997","0.0719874999999774"
"-32","150","146.7837095","146.857813","146.9297111","-0.0741035000000068","0.0718980999999985"
"-31.5","150","146.7852294","146.859318","146.9311118","-0.0740886000000103","0.0717937999999947"
"-31","150","146.7867643","146.860823","146.9325125","-0.0740587000000232","0.0716894999999909"
"-30.5","150","146.7882842","146.8623281","146.9339132","-0.0740439000000208","0.071585099999993"
"-30","150","146.789819","146.8638331","146.9353139","-0.0740140999999994","0.0714808000000176"
"-29.5","150","146.791026","146.8650103","146.9364166","-0.0739843000000064","0.0714063000000067"
"-29","150","146.792233","146.8662024","146.9375342","-0.0739693999999815","0.0713317999999958"
"-28.5","150","146.7934549","146.8673795","146.9386518","-0.073924599999998","0.071272300000004"
"-28","150","146.7946619","146.8685567","146.9397545","-0.073894800000005","0.0711977999999931"
"-27.5","150","146.7956901","146.8695551","146.9407082","-0.0738650000000121","0.0711530999999752"
"-27","150","146.7967331","146.8705535","146.9416618","-0.0738203999999882","0.0711082999999917"
"-26.5","150","146.7977762","146.8715519","146.9426155","-0.0737756999999988","0.0710636000000022"
"-26","150","146.7988044","146.8725502","146.9435543","-0.0737458000000117","0.0710040999999819"
"-25.5","150","146.7996836","146.8733847","146.9443589","-0.0737010999999939","0.0709741999999949"
"-25","150","146.8005478","146.8742341","146.9451487","-0.0736862999999914","0.0709146000000089"
"-24.5","150","146.801427","146.8750536","146.9459534","-0.0736266000000114","0.0708998000000065"
"-24","150","146.8022913","146.875903","146.9467431","-0.0736116999999865","0.0708400999999981"
"-23.5","150","146.8030512","146.8766034","146.9474137","-0.0735521999999946","0.0708103000000051"
"-23","150","146.8037963","146.8773186","146.9480842","-0.0735223000000076","0.0707656000000156"
"-22.5","150","146.8045563","146.8780339","146.9487548","-0.0734775999999897","0.0707208999999978"
"-22","150","146.8053013","146.8787491","146.9494253","-0.0734477999999967","0.0706762000000083"
"-21.5","150","146.8059421","146.8793601","146.9499916","-0.0734180000000038","0.0706314999999904"
"-21","150","146.8065828","146.8799561","146.9505578","-0.0733732999999859","0.0706017000000259"
"-20.5","150","146.8072087","146.8805671","146.951139","-0.0733584000000178","0.0705719000000045"
"-20","150","146.8078494","146.881178","146.9517052","-0.0733285999999964","0.0705271999999866"
"-19.5","150","146.8083858","146.8816847","146.9521821","-0.0732988999999975","0.0704973999999936"
"-19","150","146.8089223","146.8822062","146.9526738","-0.073283900000007","0.0704676000000006"
"-18.5","150","146.8094736","146.8827277","146.9531506","-0.073254100000014","0.0704228999999827"
"-18","150","146.8100101","146.8832493","146.9536424","-0.0732391999999891","0.0703931000000182"
"-17.5","150","146.810472","146.8836963","146.9540447","-0.0732242999999926","0.0703484000000003"
"-17","150","146.8109339","146.8841434","146.9544619","-0.0732094999999902","0.0703185000000133"
"-16.5","150","146.811381","146.8845904","146.9548643","-0.0732093999999961","0.0702738999999895"
"-16","150","146.8118429","146.8850225","146.9552815","-0.0731796000000031","0.0702590000000214"
"-15.5","150","146.8122303","146.88541","146.9556242","-0.0731796999999972","0.070214199999981"
"-15","150","146.8126327","146.8857974","146.9559819","-0.0731647000000066","0.0701845000000105"
"-14.5","150","146.8130201","146.8861848","146.9563246","-0.0731647000000066","0.0701397999999926"
"-14","150","146.8134075","146.8865573","146.9566673","-0.0731497999999817","0.0701099999999997"
"-13.5","150","146.8137354","146.8868852","146.9569653","-0.0731497999999817","0.0700801000000126"
"-13","150","146.8140632","146.8871981","146.9572634","-0.0731349000000137","0.0700652999999818"
"-12.5","150","146.8143761","146.8875259","146.9575465","-0.0731498000000101","0.0700205999999923"
"-12","150","146.8147039","146.8878388","146.9578296","-0.0731348999999852","0.0699907999999994"
"-11.5","150","146.8149722","146.8881071","146.9580829","-0.0731349000000137","0.0699757999999804"
"-11","150","146.8152404","146.8883604","146.9583213","-0.0731200000000172","0.0699608999999839"
"-10.5","150","146.8155086","146.8886286","146.9585598","-0.0731200000000172","0.069931199999985"
"-10","150","146.8157768","146.8888819","146.9587982","-0.0731050999999923","0.0699162999999885"
