X_distance_from_deformation_center_mm,initial_thickness_um,D850_R425_10pct_hold_thickness_um,D950_R475_10pct_hold_thickness_um,D950_minus_D850_um,D850_compression_from_initial_um,D950_compression_from_initial_um
-5,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4.900000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4.800000191,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4.699999809,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4.599999905,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4.5,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4.400000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4.300000191,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4.199999809,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4.099999905,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-4,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3.900000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3.799999952,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3.700000048,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3.599999905,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3.5,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3.400000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3.299999952,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3.200000048,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3.099999905,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-3,150,149.9999911,149.9999911,0,8.940696716e-06,8.940696716e-06
-2.900000095,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-2.799999952,150,149.9999911,149.9999911,0,8.940696716e-06,8.940696716e-06
-2.700000048,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-2.599999905,150,149.9999762,149.9999911,1.490116119e-05,2.384185791e-05,8.940696716e-06
-2.5,150,150.000006,150.000006,0,-5.960464478e-06,-5.960464478e-06
-2.400000095,150,149.9999762,149.9999911,1.490116119e-05,2.384185791e-05,8.940696716e-06
-2.299999952,150,150.0000358,150.000006,-2.980232239e-05,-3.576278687e-05,-5.960464478e-06
-2.200000048,150,149.9999464,149.9999762,2.980232239e-05,5.36441803e-05,2.384185791e-05
-2.099999905,150,150.0000656,150.000006,-5.960464478e-05,-6.556510925e-05,-5.960464478e-06
-2,150,149.9998569,150.0002295,0.0003725290298,0.0001430511475,-0.0002294778824
-1.899999976,150,150.0006616,149.9988586,-0.001803040504,-0.000661611557,0.001141428947
-1.799999952,150,149.9970555,150.0020772,0.005021691322,0.002944469452,-0.00207722187
-1.700000048,150,150.0071585,150.0074565,0.0002980232239,-0.007158517838,-0.007456541061
-1.600000024,150,150.0053853,149.8158872,-0.1894980669,-0.005385279655,0.1841127872
-1.5,150,149.6332586,149.4185477,-0.2147108316,0.3667414188,0.5814522505
-1.399999976,150,149.2564231,149.0849853,-0.1714378595,0.7435768843,0.9150147438
-1.299999952,150,148.8990784,148.7709284,-0.1281499863,1.100921631,1.229071617
-1.200000048,150,148.5402137,148.4585106,-0.08170306683,1.459786296,1.541489363
-1.100000024,150,148.2723057,148.2305229,-0.04178285599,1.727694273,1.769477129
-1,150,148.0059773,148.006469,0.0004917383194,1.994022727,1.993530989
-0.8999999762,150,147.7791965,147.8025168,0.02332031727,2.220803499,2.197483182
-0.8000000119,150,147.5540102,147.6016939,0.04768371582,2.445989847,2.398306131
-0.6999999881,150,147.395134,147.4647224,0.06958842278,2.604866028,2.535277605
-0.6000000238,150,147.2375244,147.3297328,0.09220838547,2.76247561,2.670267224
-0.5,150,147.1122801,147.2162753,0.103995204,2.88771987,2.783724666
-0.400000006,150,146.9898224,147.1055746,0.1157522202,3.010177612,2.894425392
-0.3000000119,150,146.923691,147.0515579,0.1278668642,3.076308966,2.948442101
-0.200000003,150,146.8613446,147.0001936,0.13884902,3.138655424,2.999806404
-0.1000000015,150,146.8307674,146.9709277,0.1401603222,3.169232607,3.029072285
0,150,146.8037367,146.9444036,0.1406669617,3.196263313,3.055596352
0.1000000015,150,146.8307674,146.9709277,0.1401603222,3.169232607,3.029072285
0.200000003,150,146.8613446,147.0001936,0.13884902,3.138655424,2.999806404
0.3000000119,150,146.923691,147.0515579,0.1278668642,3.076308966,2.948442101
0.400000006,150,146.9898224,147.1055746,0.1157522202,3.010177612,2.894425392
0.5,150,147.1122801,147.2162753,0.103995204,2.88771987,2.783724666
0.6000000238,150,147.2375244,147.3297328,0.09220838547,2.76247561,2.670267224
0.6999999881,150,147.395134,147.4647224,0.06958842278,2.604866028,2.535277605
0.8000000119,150,147.5540102,147.6016939,0.04768371582,2.445989847,2.398306131
0.8999999762,150,147.7791965,147.8025168,0.02332031727,2.220803499,2.197483182
