film_length_coordinate_mm,X_distance_from_deformation_center_mm,CPRESS_10pct_centerline_surface_average_MPa,CPRESS_20pct_centerline_surface_average_MPa,CPRESS_10pct_width_and_surface_average_MPa,CPRESS_20pct_width_and_surface_average_MPa,CPRESS_10pct_width_maximum_MPa,CPRESS_20pct_width_maximum_MPa
0,-5,0,0,0,0,0,0
0.09999990463,-4.900000095,0,0,0,0,0,0
0.1999998093,-4.800000191,0,0,0,0,0,0
0.3000001907,-4.699999809,0,0,0,0,0,0
0.4000000954,-4.599999905,0,0,0,0,0,0
0.5,-4.5,0,0,0,0,0,0
0.5999999046,-4.400000095,0,0,0,0,0,0
0.6999998093,-4.300000191,0,0,0,0,0,0
0.8000001907,-4.199999809,0,0,0,0,0,0
0.9000000954,-4.099999905,0,0,0,0,0,0
1,-4,0,0,0,0,0,0
1.099999905,-3.900000095,0,0,0,0,0,0
1.200000048,-3.799999952,0,0,0,0,0,0
1.299999952,-3.700000048,0,0,0,0,0,0
1.400000095,-3.599999905,0,0,0,0,0,0
1.5,-3.5,0,0,0,0,0,0
1.599999905,-3.400000095,0,0,0,0,0,0
1.700000048,-3.299999952,0,0,0,0,0,0
1.799999952,-3.200000048,0,0,0,0,0,0
1.900000095,-3.099999905,0,0,0,0,0,0
2,-3,0,0,0,0,0,0
2.099999905,-2.900000095,0,0,0,0,0,0
2.200000048,-2.799999952,0,0,0,0,0,0
2.299999952,-2.700000048,0,0,0,0,0,0
2.400000095,-2.599999905,0,0,0,0,0,0
2.5,-2.5,0,0,0,0.009731975156,0,0.503839612
2.599999905,-2.400000095,0,0,0,0.2881185218,0,6.754199028
2.700000048,-2.299999952,0,0.412972793,0,2.349389529,0,30.35451126
2.799999952,-2.200000048,0,6.056757689,0,9.8617719,0,56.09010315
2.900000095,-2.099999905,0,28.16889858,0,31.19247883,0,82.76937866
3,-2,0,50.38399124,0,55.90556885,0,107.1310883
3.100000024,-1.899999976,0,72.87817764,0.01060606465,78.08395229,0.8807522655,126.7059326
3.200000048,-1.799999952,0,93.68974686,0.1796716522,98.2508159,10.04446602,144.468811
3.299999952,-1.700000048,0,110.5884209,1.159111731,114.9302816,38.08041763,161.1876221
3.399999976,-1.600000024,2.427214861,126.2208481,5.882175391,130.686211,66.75496674,177.2289581
3.5,-1.5,19.58717155,140.6978149,24.37424474,145.0433083,90.14323425,191.5925903
