"X_distance_from_deformation_center_mm","initial_thickness_um","D900_10pct_hold_thickness_um","D900_20pct_hold_thickness_um","thickness_20pct_minus_10pct_um","compression_10pct_um","compression_20pct_um"
"-5","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"-4.900000095","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"-4.800000191","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"-4.699999809","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"-4.599999905","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"-4.5","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"-4.400000095","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"-4.300000191","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"-4.199999809","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"-4.099999905","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"-4","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"-3.900000095","150","150.000006","150.0000209","1.48999999964872E-05","-6.00000001327317E-06","-2.09000000097603E-05"
"-3.799999952","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"-3.700000048","150","150.000006","150.000006","0","-6.00000001327317E-06","-6.00000001327317E-06"
"-3.599999905","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"-3.5","150","150.000006","150.000006","0","-6.00000001327317E-06","-6.00000001327317E-06"
"-3.400000095","150","150.000006","149.9999911","-1.49000000249089E-05","-6.00000001327317E-06","8.90000001163571E-06"
"-3.299999952","150","150.000006","149.9999762","-2.9800000021396E-05","-6.00000001327317E-06","2.38000000081229E-05"
"-3.200000048","150","150.000006","150.000006","0","-6.00000001327317E-06","-6.00000001327317E-06"
"-3.099999905","150","150.000006","149.9999613","-4.47000000178832E-05","-6.00000001327317E-06","3.870000000461E-05"
"-3","150","150.000006","150.0000358","2.97999999929743E-05","-6.00000001327317E-06","-3.58000000062475E-05"
"-2.900000095","150","150.000006","149.9999166","-8.94000000073447E-05","-6.00000001327317E-06","8.33999999940715E-05"
"-2.799999952","150","150.000006","150.0000954","8.9399999978923E-05","-6.00000001327317E-06","-9.53999999921962E-05"
"-2.700000048","150","150.000006","149.9998122","-0.00019380000000524","-6.00000001327317E-06","0.000187799999991967"
"-2.599999905","150","149.9999911","150.0003338","0.00034270000000447","8.90000001163571E-06","-0.000333799999992834"
"-2.5","150","150.0000209","149.9994844","-0.00053650000000971","-2.09000000097603E-05","0.000515599999999949"
"-2.400000095","150","149.9999762","149.9987543","-0.00122189999999023","2.38000000081229E-05","0.00124569999999835"
