"Z_distance_from_center_mm","D900_original_thickness_um","D900_refinedZ_thickness_um","refined_minus_original_um"
"-50","146.3284194","144.8729634","-1.455456"
"-49","146.3738084","145.7850337","-0.588774699999988"
"-48","146.42784","146.7120051","0.284165099999996"
"-47","146.4817077","146.68414","0.202432300000027"
"-46","146.535188","146.6552615","0.12007349999999"
"-45","146.5884","146.7069387","0.118538699999988"
"-44","146.6421783","146.7586011","0.116422799999981"
"-43","146.695435","146.7747986","0.0793635999999935"
"-42","146.7492282","146.7909962","0.0417679999999905"
"-41","146.8023658","146.8022764","-8.9399999978923E-05"
"-40","146.8561888","146.8135417","-0.0426471000000106"
"-39","146.863997","146.8221396","-0.0418573999999978"
"-38","146.8721926","146.8307674","-0.0414251999999919"
"-37","146.8800306","146.8361318","-0.0438987999999938"
"-36","146.8880922","146.8414962","-0.0465959999999939"
"-35","146.8960047","146.846205","-0.0497996999999941"
"-34","146.9040215","146.850884","-0.0531374999999912"
"-33","146.9119489","146.8543559","-0.0575929999999971"
"-32","146.9199657","146.857813","-0.0621527000000128"
"-31","146.9278634","146.860823","-0.0670403999999962"
"-30","146.9358951","146.8638331","-0.0720620000000167"
"-29","146.9278932","146.8662024","-0.061690800000008"
"-28","146.9200253","146.8685567","-0.0514685999999926"
"-27","146.9120532","146.8705535","-0.0414997000000028"
"-26","146.9041109","146.8725502","-0.0315607"
"-25","146.8961537","146.8742341","-0.0219196000000181"
"-24","146.8882263","146.875903","-0.0123233000000198"
"-23","146.8802691","146.8773186","-0.00295049999999719"
"-22","146.8723267","146.8787491","0.00642239999999106"
"-21","146.864444","146.8799561","0.0155120999999951"
"-20","146.856457","146.881178","0.0247209999999995"
"-19","146.8661129","146.8822062","0.0160933000000227"
"-18","146.8757093","146.8832493","0.00753999999997745"
"-17","146.8853652","146.8841434","-0.00122179999999616"
"-16","146.8950063","146.8850225","-0.00998380000001475"
"-15","146.9046474","146.8857974","-0.0188499999999863"
"-14","146.9143033","146.8865573","-0.0277460000000076"
"-13","146.9239593","146.8871981","-0.0367612000000008"
"-12","146.9335556","146.8878388","-0.0457168000000081"
"-11","146.9430625","146.8883604","-0.0547020999999859"
"-10","146.9527781","146.8888819","-0.0638961999999879"
"-9","146.9447315","146.8892992","-0.0554322999999783"
"-8","146.9368339","146.8897164","-0.047117500000013"
"-7","146.9288766","146.8900293","-0.0388472999999863"
"-6","146.92083","146.8903422","-0.0304878000000031"
"-5","146.9128281","146.8905658","-0.0222623000000226"
"-4","146.9048262","146.8907893","-0.0140369000000078"
"-3","146.8968093","146.8909234","-0.00588590000000977"
"-2","146.8887627","146.8910575","0.00229479999998716"
"-1","146.8808055","146.8911022","0.0102966999999978"
"0","146.8727589","146.8911469","0.0183879999999874"
"1","146.8808055","146.8911022","0.0102966999999978"
"2","146.8887627","146.8910575","0.00229479999998716"
"3","146.8968093","146.8909234","-0.00588590000000977"
"4","146.9048262","146.8907893","-0.0140369000000078"
"5","146.9128281","146.8905658","-0.0222623000000226"
"6","146.92083","146.8903422","-0.0304878000000031"
"7","146.9288766","146.8900293","-0.0388472999999863"
"8","146.9368339","146.8897164","-0.047117500000013"
"9","146.9447315","146.8892992","-0.0554322999999783"
"10","146.9527781","146.8888819","-0.0638961999999879"
"11","146.9430625","146.8883604","-0.0547020999999859"
"12","146.9335556","146.8878388","-0.0457168000000081"
"13","146.9239593","146.8871981","-0.0367612000000008"
"14","146.9143033","146.8865573","-0.0277460000000076"
"15","146.9046474","146.8857974","-0.0188499999999863"
"16","146.8950063","146.8850225","-0.00998380000001475"
"17","146.8853652","146.8841434","-0.00122179999999616"
"18","146.8757093","146.8832493","0.00753999999997745"
"19","146.8661129","146.8822062","0.0160933000000227"
"20","146.856457","146.881178","0.0247209999999995"
"21","146.864444","146.8799561","0.0155120999999951"
"22","146.8723267","146.8787491","0.00642239999999106"
"23","146.8802691","146.8773186","-0.00295049999999719"
"24","146.8882263","146.875903","-0.0123233000000198"
"25","146.8961537","146.8742341","-0.0219196000000181"
"26","146.9041109","146.8725502","-0.0315607"
"27","146.9120532","146.8705535","-0.0414997000000028"
"28","146.9200253","146.8685567","-0.0514685999999926"
"29","146.9278932","146.8662024","-0.061690800000008"
"30","146.9358951","146.8638331","-0.0720620000000167"
"31","146.9278634","146.860823","-0.0670403999999962"
"32","146.9199657","146.857813","-0.0621527000000128"
"33","146.9119489","146.8543559","-0.0575929999999971"
"34","146.9040215","146.850884","-0.0531374999999912"
"35","146.8960047","146.846205","-0.0497996999999941"
"36","146.8880922","146.8414962","-0.0465959999999939"
"37","146.8800306","146.8361318","-0.0438987999999938"
"38","146.8721926","146.8307674","-0.0414251999999919"
"39","146.863997","146.8221396","-0.0418573999999978"
"40","146.8561888","146.8135417","-0.0426471000000106"
"41","146.8023658","146.8022764","-8.9399999978923E-05"
"42","146.7492282","146.7909962","0.0417679999999905"
"43","146.695435","146.7747986","0.0793635999999935"
"44","146.6421783","146.7586011","0.116422799999981"
"45","146.5884","146.7069387","0.118538699999988"
"46","146.535188","146.6552615","0.12007349999999"
"47","146.4817077","146.68414","0.202432300000027"
"48","146.42784","146.7120051","0.284165099999996"
"49","146.3738084","145.7850337","-0.588774699999988"
"50","146.3284194","144.8729634","-1.455456"
