"Z_distance_from_center_mm","initial_thickness_um","hold_10pct_thickness_um","hold_20pct_thickness_um"
"-50","150","146.3284194","143.7994242"
"-49","150","146.3738084","143.899858"
"-48","150","146.42784","144.0120041"
"-47","150","146.4817077","144.1221535"
"-46","150","146.535188","144.233346"
"-45","150","146.5884","144.3430483"
"-44","150","146.6421783","144.4543004"
"-43","150","146.695435","144.5642114"
"-42","150","146.7492282","144.6753442"
"-41","150","146.8023658","144.7850615"
"-40","150","146.8561888","144.8961794"
"-39","150","146.863997","144.9108571"
"-38","150","146.8721926","144.9263692"
"-37","150","146.8800306","144.9411213"
"-36","150","146.8880922","144.9563056"
"-35","150","146.8960047","144.9711919"
"-34","150","146.9040215","144.9863315"
"-33","150","146.9119489","145.0012475"
"-32","150","146.9199657","145.0163722"
"-31","150","146.9278634","145.0312436"
"-30","150","146.9358951","145.0463831"
"-29","150","146.9278932","145.0297236"
"-28","150","146.9200253","145.0133026"
"-27","150","146.9120532","144.9966729"
"-26","150","146.9041109","144.9801624"
"-25","150","146.8961537","144.9635774"
"-24","150","146.8882263","144.947052"
"-23","150","146.8802691","144.9304819"
"-22","150","146.8723267","144.9139118"
"-21","150","146.864444","144.8974609"
"-20","150","146.856457","144.8808312"
"-19","150","146.8661129","144.9002773"
"-18","150","146.8757093","144.9195743"
"-17","150","146.8853652","144.9389905"
"-16","150","146.8950063","144.9583769"
"-15","150","146.9046474","144.9777782"
"-14","150","146.9143033","144.9971646"
"-13","150","146.9239593","145.0165659"
"-12","150","146.9335556","145.0359225"
"-11","150","146.9430625","145.055145"
"-10","150","146.9527781","145.0746208"
"-9","150","146.9447315","145.0581253"
"-8","150","146.9368339","145.0418532"
"-7","150","146.9288766","145.0254619"
"-6","150","146.92083","145.0090259"
"-5","150","146.9128281","144.9926049"
"-4","150","146.9048262","144.9761689"
"-3","150","146.8968093","144.9597478"
"-2","150","146.8887627","144.943282"
"-1","150","146.8808055","144.9269503"
"0","150","146.8727589","144.9104697"
"1","150","146.8808055","144.9269503"
"2","150","146.8887627","144.943282"
"3","150","146.8968093","144.9597478"
"4","150","146.9048262","144.9761689"
"5","150","146.9128281","144.9926049"
"6","150","146.92083","145.0090259"
"7","150","146.9288766","145.0254619"
"8","150","146.9368339","145.0418532"
"9","150","146.9447315","145.0581253"
"10","150","146.9527781","145.0746208"
"11","150","146.9430625","145.055145"
"12","150","146.9335556","145.0359225"
"13","150","146.9239593","145.0165659"
"14","150","146.9143033","144.9971646"
"15","150","146.9046474","144.9777782"
"16","150","146.8950063","144.9583769"
"17","150","146.8853652","144.9389905"
"18","150","146.8757093","144.9195743"
"19","150","146.8661129","144.9002773"
"20","150","146.856457","144.8808312"
"21","150","146.864444","144.8974609"
"22","150","146.8723267","144.9139118"
"23","150","146.8802691","144.9304819"
"24","150","146.8882263","144.947052"
"25","150","146.8961537","144.9635774"
"26","150","146.9041109","144.9801624"
"27","150","146.9120532","144.9966729"
"28","150","146.9200253","145.0133026"
"29","150","146.9278932","145.0297236"
"30","150","146.9358951","145.0463831"
"31","150","146.9278634","145.0312436"
"32","150","146.9199657","145.0163722"
"33","150","146.9119489","145.0012475"
"34","150","146.9040215","144.9863315"
"35","150","146.8960047","144.9711919"
"36","150","146.8880922","144.9563056"
"37","150","146.8800306","144.9411213"
"38","150","146.8721926","144.9263692"
"39","150","146.863997","144.9108571"
"40","150","146.8561888","144.8961794"
"41","150","146.8023658","144.7850615"
"42","150","146.7492282","144.6753442"
"43","150","146.695435","144.5642114"
"44","150","146.6421783","144.4543004"
"45","150","146.5884","144.3430483"
"46","150","146.535188","144.233346"
"47","150","146.4817077","144.1221535"
"48","150","146.42784","144.0120041"
"49","150","146.3738084","143.899858"
"50","150","146.3284194","143.7994242"
