film_length_coordinate_mm,X_distance_from_deformation_center_mm,upper_surface_centerline_CPRESS_MPa,lower_surface_centerline_CPRESS_MPa,centerline_surface_average_CPRESS_MPa,upper_surface_width_average_CPRESS_MPa,lower_surface_width_average_CPRESS_MPa,width_and_surface_average_CPRESS_MPa,width_maximum_CPRESS_MPa
0,-5,0,0,0,0,0,0,0
0.09999990463,-4.900000095,0,0,0,0,0,0,0
0.1999998093,-4.800000191,0,0,0,0,0,0,0
0.3000001907,-4.699999809,0,0,0,0,0,0,0
0.4000000954,-4.599999905,0,0,0,0,0,0,0
0.5,-4.5,0,0,0,0,0,0,0
0.5999999046,-4.400000095,0,0,0,0,0,0,0
0.6999998093,-4.300000191,0,0,0,0,0,0,0
0.8000001907,-4.199999809,0,0,0,0,0,0,0
0.9000000954,-4.099999905,0,0,0,0,0,0,0
1,-4,0,0,0,0,0,0,0
1.099999905,-3.900000095,0,0,0,0,0,0,0
1.200000048,-3.799999952,0,0,0,0,0,0,0
1.299999952,-3.700000048,0,0,0,0,0,0,0
1.400000095,-3.599999905,0,0,0,0,0,0,0
1.5,-3.5,0,0,0,0,0,0,0
1.599999905,-3.400000095,0,0,0,0,0,0,0
1.700000048,-3.299999952,0,0,0,0,0,0,0
1.799999952,-3.200000048,0,0,0,0,0,0,0
1.900000095,-3.099999905,0,0,0,0,0,0,0
2,-3,0,0,0,0,0,0,0
2.099999905,-2.900000095,0,0,0,0,0,0,0
2.200000048,-2.799999952,0,0,0,0,0,0,0
2.299999952,-2.700000048,0,0,0,0,0,0,0
2.400000095,-2.599999905,0,0,0,0,0,0,0
2.5,-2.5,0,0,0,0.0125528805,0.006911069812,0.009731975156,0.503839612
2.599999905,-2.400000095,0,0,0,0.3056948101,0.2705422336,0.2881185218,6.754199028
2.700000048,-2.299999952,0.4131143391,0.4128312469,0.412972793,2.354666002,2.344113055,2.349389529,30.35451126
2.799999952,-2.200000048,6.057296276,6.056219101,6.056757689,9.854666256,9.868877544,9.8617719,56.09010315
2.900000095,-2.099999905,28.16767502,28.17012215,28.16889858,31.19560406,31.18935361,31.19247883,82.76937866
3,-2,50.38673782,50.38124466,50.38399124,55.90704847,55.90408924,55.90556885,107.1310883
3.100000024,-1.899999976,72.87863922,72.87771606,72.87817764,78.08190903,78.08599554,78.08395229,126.7059326
3.200000048,-1.799999952,93.68910217,93.69039154,93.68974686,98.25113274,98.25049905,98.2508159,144.468811
3.299999952,-1.700000048,110.5885468,110.588295,110.5884209,114.9259962,114.934567,114.9302816,161.1876221
3.399999976,-1.600000024,126.2194824,126.2222137,126.2208481,130.6849801,130.687442,130.686211,177.2289581
3.5,-1.5,140.6974487,140.6981812,140.6978149,145.0413678,145.0452489,145.0433083,191.5925903
3.600000024,-1.399999976,154.6725922,154.6739502,154.6732712,158.8794657,158.8846103,158.882038,205.093689
3.700000048,-1.299999952,166.2019501,166.2019196,166.2019348,170.2810834,170.284627,170.2828552,217.1749115
3.799999952,-1.200000048,177.1918488,177.1922913,177.19207,181.2940234,181.2976726,181.295848,228.3556519
3.899999976,-1.100000024,187.2763062,187.2761993,187.2762527,191.1244737,191.1257857,191.1251297,238.1903534
4,-1,196.4796295,196.4799652,196.4797974,200.3344981,200.3360599,200.335279,247.4357452
4.100000024,-0.8999999762,204.0861511,204.0860443,204.0860977,207.867437,207.869429,207.868433,254.9826508
4.199999988,-0.8000000119,211.1290131,211.1290131,211.1290131,214.8952703,214.8959674,214.8956188,262.4162598
4.300000012,-0.6999999881,216.929245,216.9291077,216.9291763,220.6492462,220.650992,220.6501191,268.4742432
4.399999976,-0.6000000238,222.6663818,222.6665192,222.6664505,226.2772687,226.2771122,226.2771904,273.9237061
4.5,-0.5,226.4614563,226.4612732,226.4613647,230.0531948,230.0537708,230.0534828,277.6377869
4.599999994,-0.400000006,229.7918854,229.791687,229.7917862,233.3887652,233.3896353,233.3892002,281.1560669
4.699999988,-0.3000000119,232.3996277,232.3994598,232.3995438,235.9396326,235.9397664,235.9396995,283.506134
4.799999997,-0.200000003,234.7266541,234.7265472,234.7266006,238.2230374,238.2224761,238.2227568,285.6632996
4.899999999,-0.1000000015,235.50177,235.5015869,235.5016785,239.0130044,239.0128554,239.0129299,286.6191101
5,0,236.0233765,236.0230255,236.023201,239.5577141,239.5580121,239.5578631,287.3721924
5.100000001,0.1000000015,235.50177,235.5015869,235.5016785,239.0130044,239.0128554,239.0129299,286.6191101
5.200000003,0.200000003,234.7266541,234.7265472,234.7266006,238.2230374,238.2224761,238.2227568,285.6632996
5.300000012,0.3000000119,232.3996277,232.3994598,232.3995438,235.9396326,235.9397664,235.9396995,283.506134
5.400000006,0.400000006,229.7918854,229.791687,229.7917862,233.3887652,233.3896353,233.3892002,281.1560669
5.5,0.5,226.4614563,226.4612732,226.4613647,230.0531948,230.0537708,230.0534828,277.6377869
5.600000024,0.6000000238,222.6663818,222.6665192,222.6664505,226.2772687,226.2771122,226.2771904,273.9237061
5.699999988,0.6999999881,216.929245,216.9291077,216.9291763,220.6492462,220.650992,220.6501191,268.4742432
5.800000012,0.8000000119,211.1290131,211.1290131,211.1290131,214.8952703,214.8959674,214.8956188,262.4162598
5.899999976,0.8999999762,204.0861511,204.0860443,204.0860977,207.867437,207.869429,207.868433,254.9826508
6,1,196.4796295,196.4799652,196.4797974,200.3344981,200.3360599,200.335279,247.4357452
6.100000024,1.100000024,187.2763062,187.2761993,187.2762527,191.1244737,191.1257857,191.1251297,238.1903534
6.200000048,1.200000048,177.1918488,177.1922913,177.19207,181.2940234,181.2976726,181.295848,228.3556519
6.299999952,1.299999952,166.2019501,166.2019196,166.2019348,170.2810834,170.284627,170.2828552,217.1749115
6.399999976,1.399999976,154.6725922,154.6739502,154.6732712,158.8794657,158.8846103,158.882038,205.093689
6.5,1.5,140.6974487,140.6981812,140.6978149,145.0413678,145.0452489,145.0433083,191.5925903
6.600000024,1.600000024,126.2194824,126.2222137,126.2208481,130.6849801,130.687442,130.686211,177.2289581
6.700000048,1.700000048,110.5885468,110.588295,110.5884209,114.9259962,114.934567,114.9302816,161.1876221
6.799999952,1.799999952,93.68910217,93.69039154,93.68974686,98.25113274,98.25049905,98.2508159,144.468811
6.899999976,1.899999976,72.87863922,72.87771606,72.87817764,78.08190903,78.08599554,78.08395229,126.7059326
7,2,50.38673782,50.38124466,50.38399124,55.90704847,55.90408924,55.90556885,107.1310883
7.099999905,2.099999905,28.16767502,28.17012215,28.16889858,31.19560406,31.18935361,31.19247883,82.76937866
7.200000048,2.200000048,6.057296276,6.056219101,6.056757689,9.854666256,9.868877544,9.8617719,56.09010315
7.299999952,2.299999952,0.4131143391,0.4128312469,0.412972793,2.354666002,2.344113055,2.349389529,30.35451126
7.400000095,2.400000095,0,0,0,0.3056948101,0.2705422336,0.2881185218,6.754199028
7.5,2.5,0,0,0,0.0125528805,0.006911069812,0.009731975156,0.503839612
7.599999905,2.599999905,0,0,0,0,0,0,0
7.700000048,2.700000048,0,0,0,0,0,0,0
7.799999952,2.799999952,0,0,0,0,0,0,0
7.900000095,2.900000095,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0
8.099999905,3.099999905,0,0,0,0,0,0,0
8.200000048,3.200000048,0,0,0,0,0,0,0
8.299999952,3.299999952,0,0,0,0,0,0,0
8.400000095,3.400000095,0,0,0,0,0,0,0
8.5,3.5,0,0,0,0,0,0,0
8.599999905,3.599999905,0,0,0,0,0,0,0
8.700000048,3.700000048,0,0,0,0,0,0,0
8.799999952,3.799999952,0,0,0,0,0,0,0
8.900000095,3.900000095,0,0,0,0,0,0,0
9,4,0,0,0,0,0,0,0
9.099999905,4.099999905,0,0,0,0,0,0,0
9.199999809,4.199999809,0,0,0,0,0,0,0
9.300000191,4.300000191,0,0,0,0,0,0,0
9.400000095,4.400000095,0,0,0,0,0,0,0
9.5,4.5,0,0,0,0,0,0,0
9.599999905,4.599999905,0,0,0,0,0,0,0
9.699999809,4.699999809,0,0,0,0,0,0,0
9.800000191,4.800000191,0,0,0,0,0,0,0
9.900000095,4.900000095,0,0,0,0,0,0,0
10,5,0,0,0,0,0,0,0
