metric,value
odb_path,E:\abaqus\3Dfuxian\SelfSupport_YanshanParam_LocalStaticPress_NoUnload_20pct.odb
prescribed_upper_roll_U2_mm,-0.03
target_nominal_gap_mm,0.12
max_upper_RF2_model_N_signed,-18625.74414
max_upper_RF2_full_equiv_N_abs,74502.97656
line_force_full_equiv_N_per_mm,745.0297656
max_CPRESS_MPa,287.3721924
max_Mises_film_MPa,254.5266418
max_PRESS_from_S_MPa,116.8225301
min_PRESS_from_S_MPa,-0.7580649853
LE22_max,0.0004319565778
LE22_min,-0.04187507182
PE22_max,0.002904183464
PE22_min,0
PEvol_max,0.0125815291
PEvol_min,0
PEvol_abs_max,0.0125815291
hold_global_average_thickness_mm,0.1484017212
hold_contact_X_0_to_2p6_average_thickness_mm,0.1469811397
hold_center_X_0_to_0p5_average_thickness_mm,0.144924562
profile_min_thickness_mm,0.1437994242
profile_max_thickness_mm,0.1450746208
ALLPD_final,-2.898897648
ALLIE_final,253.6132812
ALLSD_final,0
ALLSD_over_ALLIE,0
