X_distance_from_deformation_center_mm,initial_thickness_um,D900_20pct_hold_thickness_um,compression_from_initial_um,inside_nominal_contact_X_abs_le_2p6
-5,150,149.9999762,2.384185791e-05,NO
-4.900000095,150,150.0000209,-2.086162567e-05,NO
-4.800000191,150,149.9999762,2.384185791e-05,NO
-4.699999809,150,150.0000209,-2.086162567e-05,NO
-4.599999905,150,149.9999762,2.384185791e-05,NO
-4.5,150,150.0000209,-2.086162567e-05,NO
-4.400000095,150,149.9999762,2.384185791e-05,NO
-4.300000191,150,150.0000209,-2.086162567e-05,NO
-4.199999809,150,149.9999762,2.384185791e-05,NO
-4.099999905,150,150.0000209,-2.086162567e-05,NO
-4,150,149.9999762,2.384185791e-05,NO
-3.900000095,150,150.0000209,-2.086162567e-05,NO
-3.799999952,150,149.9999762,2.384185791e-05,NO
-3.700000048,150,150.000006,-5.960464478e-06,NO
-3.599999905,150,149.9999762,2.384185791e-05,NO
-3.5,150,150.000006,-5.960464478e-06,NO
-3.400000095,150,149.9999911,8.940696716e-06,NO
-3.299999952,150,149.9999762,2.384185791e-05,NO
-3.200000048,150,150.000006,-5.960464478e-06,NO
-3.099999905,150,149.9999613,3.87430191e-05,NO
-3,150,150.0000358,-3.576278687e-05,NO
-2.900000095,150,149.9999166,8.344650269e-05,NO
-2.799999952,150,150.0000954,-9.536743164e-05,NO
-2.700000048,150,149.9998122,0.000187754631,NO
-2.599999905,150,150.0003338,-0.0003337860107,YES
-2.5,150,149.9994844,0.0005155801773,YES
-2.400000095,150,149.9987543,0.001245737076,YES
-2.299999952,150,150.0117928,-0.01179277897,YES
-2.200000048,150,149.9097943,0.0902056694,YES
-2.099999905,150,149.3907869,0.6092131138,YES
-2,150,148.9953697,1.004630327,YES
-1.899999976,150,148.5384256,1.461574435,YES
-1.799999952,150,148.0788589,1.921141148,YES
-1.700000048,150,147.7351934,2.264806628,YES
-1.600000024,150,147.3940462,2.605953813,YES
-1.5,150,147.0751762,2.924823761,YES
-1.399999976,150,146.7592567,3.240743279,YES
-1.299999952,150,146.5137899,3.486210108,YES
-1.200000048,150,146.2703943,3.729605675,YES
-1.100000024,150,146.0508704,3.949129581,YES
-1,150,145.8307952,4.169204831,YES
-0.8999999762,150,145.6684917,4.331508279,YES
-0.8000000119,150,145.5078721,4.492127895,YES
-0.6999999881,150,145.3688294,4.63117063,YES
-0.6000000238,150,145.2340484,4.765951633,YES
-0.5,150,145.1449692,4.855030775,YES
-0.400000006,150,145.0579464,4.942053556,YES
-0.3000000119,150,144.9965984,5.003401637,YES
-0.200000003,150,144.9373513,5.062648654,YES
-0.1000000015,150,144.9225545,5.077445507,YES
0,150,144.9104697,5.089530349,YES
0.1000000015,150,144.9225545,5.077445507,YES
0.200000003,150,144.9373513,5.062648654,YES
0.3000000119,150,144.9965984,5.003401637,YES
0.400000006,150,145.0579464,4.942053556,YES
0.5,150,145.1449692,4.855030775,YES
0.6000000238,150,145.2340484,4.765951633,YES
0.6999999881,150,145.3688294,4.63117063,YES
0.8000000119,150,145.5078721,4.492127895,YES
0.8999999762,150,145.6684917,4.331508279,YES
1,150,145.8307952,4.169204831,YES
1.100000024,150,146.0508704,3.949129581,YES
1.200000048,150,146.2703943,3.729605675,YES
1.299999952,150,146.5137899,3.486210108,YES
1.399999976,150,146.7592567,3.240743279,YES
1.5,150,147.0751762,2.924823761,YES
1.600000024,150,147.3940462,2.605953813,YES
1.700000048,150,147.7351934,2.264806628,YES
1.799999952,150,148.0788589,1.921141148,YES
1.899999976,150,148.5384256,1.461574435,YES
2,150,148.9953697,1.004630327,YES
2.099999905,150,149.3907869,0.6092131138,YES
2.200000048,150,149.9097943,0.0902056694,YES
2.299999952,150,150.0117928,-0.01179277897,YES
2.400000095,150,149.9987543,0.001245737076,YES
2.5,150,149.9994844,0.0005155801773,YES
2.599999905,150,150.0003338,-0.0003337860107,YES
2.700000048,150,149.9998122,0.000187754631,NO
2.799999952,150,150.0000954,-9.536743164e-05,NO
2.900000095,150,149.9999166,8.344650269e-05,NO
3,150,150.0000358,-3.576278687e-05,NO
3.099999905,150,149.9999613,3.87430191e-05,NO
3.200000048,150,150.000006,-5.960464478e-06,NO
3.299999952,150,149.9999762,2.384185791e-05,NO
3.400000095,150,149.9999911,8.940696716e-06,NO
3.5,150,150.000006,-5.960464478e-06,NO
3.599999905,150,149.9999762,2.384185791e-05,NO
3.700000048,150,150.000006,-5.960464478e-06,NO
3.799999952,150,149.9999762,2.384185791e-05,NO
3.900000095,150,150.0000209,-2.086162567e-05,NO
4,150,149.9999762,2.384185791e-05,NO
4.099999905,150,150.0000209,-2.086162567e-05,NO
4.199999809,150,149.9999762,2.384185791e-05,NO
4.300000191,150,150.0000209,-2.086162567e-05,NO
4.400000095,150,149.9999762,2.384185791e-05,NO
4.5,150,150.0000209,-2.086162567e-05,NO
4.599999905,150,149.9999762,2.384185791e-05,NO
4.699999809,150,150.0000209,-2.086162567e-05,NO
4.800000191,150,149.9999762,2.384185791e-05,NO
4.900000095,150,150.0000209,-2.086162567e-05,NO
5,150,149.9999762,2.384185791e-05,NO
