Z_distance_from_center_mm,initial_thickness_um,no_unload_20pct_hold_thickness_um,change_from_initial_um
-50,150,143.7994242,-6.200575829
-49,150,143.899858,-6.100142002
-48,150,144.0120041,-5.987995863
-47,150,144.1221535,-5.877846479
-46,150,144.233346,-5.766654015
-45,150,144.3430483,-5.656951666
-44,150,144.4543004,-5.545699596
-43,150,144.5642114,-5.435788631
-42,150,144.6753442,-5.324655771
-41,150,144.7850615,-5.214938521
-40,150,144.8961794,-5.103820562
-39,150,144.9108571,-5.089142919
-38,150,144.9263692,-5.07363081
-37,150,144.9411213,-5.05887866
-36,150,144.9563056,-5.043694377
-35,150,144.9711919,-5.028808117
-34,150,144.9863315,-5.013668537
-33,150,145.0012475,-4.998752475
-32,150,145.0163722,-4.983627796
-31,150,145.0312436,-4.968756437
-30,150,145.0463831,-4.953616858
-29,150,145.0297236,-4.970276356
-28,150,145.0133026,-4.986697435
-27,150,144.9966729,-5.003327131
-26,150,144.9801624,-5.019837618
-25,150,144.9635774,-5.03642261
-24,150,144.947052,-5.052947998
-23,150,144.9304819,-5.069518089
-22,150,144.9139118,-5.086088181
-21,150,144.8974609,-5.102539062
-20,150,144.8808312,-5.119168758
-19,150,144.9002773,-5.099722743
-18,150,144.9195743,-5.080425739
-17,150,144.9389905,-5.061009526
-16,150,144.9583769,-5.041623116
-15,150,144.9777782,-5.022221804
-14,150,144.9971646,-5.002835393
-13,150,145.0165659,-4.983434081
-12,150,145.0359225,-4.964077473
-11,150,145.055145,-4.944854975
-10,150,145.0746208,-4.925379157
-9,150,145.0581253,-4.941874743
-8,150,145.0418532,-4.958146811
-7,150,145.0254619,-4.974538088
-6,150,145.0090259,-4.990974069
-5,150,144.9926049,-5.007395148
-4,150,144.9761689,-5.023831129
-3,150,144.9597478,-5.040252209
-2,150,144.943282,-5.056717992
-1,150,144.9269503,-5.073049664
0,150,144.9104697,-5.089530349
1,150,144.9269503,-5.073049664
2,150,144.943282,-5.056717992
3,150,144.9597478,-5.040252209
4,150,144.9761689,-5.023831129
5,150,144.9926049,-5.007395148
6,150,145.0090259,-4.990974069
7,150,145.0254619,-4.974538088
8,150,145.0418532,-4.958146811
9,150,145.0581253,-4.941874743
10,150,145.0746208,-4.925379157
11,150,145.055145,-4.944854975
12,150,145.0359225,-4.964077473
13,150,145.0165659,-4.983434081
14,150,144.9971646,-5.002835393
15,150,144.9777782,-5.022221804
16,150,144.9583769,-5.041623116
17,150,144.9389905,-5.061009526
18,150,144.9195743,-5.080425739
19,150,144.9002773,-5.099722743
20,150,144.8808312,-5.119168758
21,150,144.8974609,-5.102539062
22,150,144.9139118,-5.086088181
23,150,144.9304819,-5.069518089
24,150,144.947052,-5.052947998
25,150,144.9635774,-5.03642261
26,150,144.9801624,-5.019837618
27,150,144.9966729,-5.003327131
28,150,145.0133026,-4.986697435
29,150,145.0297236,-4.970276356
30,150,145.0463831,-4.953616858
31,150,145.0312436,-4.968756437
32,150,145.0163722,-4.983627796
33,150,145.0012475,-4.998752475
34,150,144.9863315,-5.013668537
35,150,144.9711919,-5.028808117
36,150,144.9563056,-5.043694377
37,150,144.9411213,-5.05887866
38,150,144.9263692,-5.07363081
39,150,144.9108571,-5.089142919
40,150,144.8961794,-5.103820562
41,150,144.7850615,-5.214938521
42,150,144.6753442,-5.324655771
43,150,144.5642114,-5.435788631
44,150,144.4543004,-5.545699596
45,150,144.3430483,-5.656951666
46,150,144.233346,-5.766654015
47,150,144.1221535,-5.877846479
48,150,144.0120041,-5.987995863
49,150,143.899858,-6.100142002
50,150,143.7994242,-6.200575829
