step,total_time,history_region,U2_model_mm,RF2_model_N,RF2_full_equiv_N
Clamp_Down,0,Node ASSEMBLY.1,0,-0,-0
Clamp_Down,0.01250000019,Node ASSEMBLY.1,-0.0003750000033,-85.82711029,-343.3084412
Clamp_Down,0.02500000037,Node ASSEMBLY.1,-0.0007500000065,-215.4820862,-861.9283447
Clamp_Down,0.03750000149,Node ASSEMBLY.1,-0.001124999952,-360.690155,-1442.76062
Clamp_Down,0.05000000075,Node ASSEMBLY.1,-0.001500000013,-520.3756714,-2081.502686
Clamp_Down,0.0625,Node ASSEMBLY.1,-0.001874999958,-689.5292358,-2758.116943
Clamp_Down,0.08124999702,Node ASSEMBLY.1,-0.00243750005,-950.6292114,-3802.516846
Clamp_Down,0.106250003,Node ASSEMBLY.1,-0.00318749994,-1319.102417,-5276.409668
Clamp_Down,0.131249994,Node ASSEMBLY.1,-0.003937500063,-1703.280273,-6813.121094
Clamp_Down,0.15625,Node ASSEMBLY.1,-0.004687500186,-2100.352051,-8401.408203
Clamp_Down,0.181250006,Node ASSEMBLY.1,-0.005437499844,-2508.832764,-10035.33105
Clamp_Down,0.206249997,Node ASSEMBLY.1,-0.006187499966,-2926.452637,-11705.81055
Clamp_Down,0.231250003,Node ASSEMBLY.1,-0.006937500089,-3351.86499,-13407.45996
Clamp_Down,0.256249994,Node ASSEMBLY.1,-0.007687500212,-3785.359619,-15141.43848
Clamp_Down,0.28125,Node ASSEMBLY.1,-0.008437500335,-4227.321777,-16909.28711
Clamp_Down,0.306250006,Node ASSEMBLY.1,-0.009187499993,-4673.79541,-18695.18164
Clamp_Down,0.3312500119,Node ASSEMBLY.1,-0.00993749965,-5125.978027,-20503.91211
Clamp_Down,0.3562499881,Node ASSEMBLY.1,-0.01068750024,-5584.811035,-22339.24414
Clamp_Down,0.381249994,Node ASSEMBLY.1,-0.0114374999,-6048.111328,-24192.44531
Clamp_Down,0.40625,Node ASSEMBLY.1,-0.01218749955,-6517.631836,-26070.52734
Clamp_Down,0.431250006,Node ASSEMBLY.1,-0.01293750014,-6988.757324,-27955.0293
Clamp_Down,0.4562500119,Node ASSEMBLY.1,-0.0136874998,-7465.98584,-29863.94336
Clamp_Down,0.4812499881,Node ASSEMBLY.1,-0.01443750039,-7947.588867,-31790.35547
Clamp_Down,0.5062500238,Node ASSEMBLY.1,-0.01518750004,-8431.867188,-33727.46875
Clamp_Down,0.53125,Node ASSEMBLY.1,-0.0159374997,-8922.267578,-35689.07031
Clamp_Down,0.5562499762,Node ASSEMBLY.1,-0.01668749936,-9414.223633,-37656.89453
Clamp_Down,0.5812500119,Node ASSEMBLY.1,-0.01743750088,-9908.463867,-39633.85547
Clamp_Down,0.6062499881,Node ASSEMBLY.1,-0.01818750054,-10408.25586,-41633.02344
Clamp_Down,0.6312500238,Node ASSEMBLY.1,-0.01893750019,-10910.53516,-43642.14062
Clamp_Down,0.65625,Node ASSEMBLY.1,-0.01968749985,-11415.10352,-45660.41406
Clamp_Down,0.6812499762,Node ASSEMBLY.1,-0.02043749951,-11924.58398,-47698.33594
Clamp_Down,0.7062500119,Node ASSEMBLY.1,-0.02118749917,-12435.74805,-49742.99219
Clamp_Down,0.7312499881,Node ASSEMBLY.1,-0.02193750069,-12948.30566,-51793.22266
Clamp_Down,0.7562500238,Node ASSEMBLY.1,-0.02268750034,-13464.25098,-53857.00391
Clamp_Down,0.78125,Node ASSEMBLY.1,-0.0234375,-13984.24121,-55936.96484
Clamp_Down,0.8062499762,Node ASSEMBLY.1,-0.02418749966,-14505.50391,-58022.01562
Clamp_Down,0.8312500119,Node ASSEMBLY.1,-0.02493749931,-15028.99219,-60115.96875
Clamp_Down,0.8562499881,Node ASSEMBLY.1,-0.02568750083,-15556.51172,-62226.04688
Clamp_Down,0.8812500238,Node ASSEMBLY.1,-0.02643750049,-16085.44824,-64341.79297
Clamp_Down,0.90625,Node ASSEMBLY.1,-0.02718750015,-16615.54297,-66462.17188
Clamp_Down,0.9312499762,Node ASSEMBLY.1,-0.02793749981,-17148,-68592
Clamp_Down,0.9562500119,Node ASSEMBLY.1,-0.02868749946,-17683.87891,-70735.51562
Clamp_Down,0.9812499881,Node ASSEMBLY.1,-0.02943749912,-18221.61328,-72886.45312
Clamp_Down,1,Node ASSEMBLY.1,-0.02999999933,-18625.74414,-74502.97656
Hold,1,Node ASSEMBLY.1,-0.02999999933,-18625.74414,-74502.97656
Hold,2,Node ASSEMBLY.1,-0.02999999933,-18625.74414,-74502.97656
