film_length_coordinate_mm,X_distance_from_deformation_center_mm,upper_surface_centerline_CPRESS_MPa,lower_surface_centerline_CPRESS_MPa,centerline_surface_average_CPRESS_MPa,upper_surface_width_average_CPRESS_MPa,lower_surface_width_average_CPRESS_MPa,width_and_surface_average_CPRESS_MPa,width_maximum_CPRESS_MPa
0,-5,0,0,0,0,0,0,0
0.09999990463,-4.900000095,0,0,0,0,0,0,0
0.1999998093,-4.800000191,0,0,0,0,0,0,0
0.3000001907,-4.699999809,0,0,0,0,0,0,0
0.4000000954,-4.599999905,0,0,0,0,0,0,0
0.5,-4.5,0,0,0,0,0,0,0
0.5999999046,-4.400000095,0,0,0,0,0,0,0
0.6999998093,-4.300000191,0,0,0,0,0,0,0
0.8000001907,-4.199999809,0,0,0,0,0,0,0
0.9000000954,-4.099999905,0,0,0,0,0,0,0
1,-4,0,0,0,0,0,0,0
1.099999905,-3.900000095,0,0,0,0,0,0,0
1.200000048,-3.799999952,0,0,0,0,0,0,0
1.299999952,-3.700000048,0,0,0,0,0,0,0
1.400000095,-3.599999905,0,0,0,0,0,0,0
1.5,-3.5,0,0,0,0,0,0,0
1.599999905,-3.400000095,0,0,0,0,0,0,0
1.700000048,-3.299999952,0,0,0,0,0,0,0
1.799999952,-3.200000048,0,0,0,0,0,0,0
1.900000095,-3.099999905,0,0,0,0,0,0,0
2,-3,0,0,0,0,0,0,0
2.099999905,-2.900000095,0,0,0,0,0,0,0
2.200000048,-2.799999952,0,0,0,0,0,0,0
2.299999952,-2.700000048,0,0,0,0,0,0,0
2.400000095,-2.599999905,0,0,0,0,0,0,0
2.5,-2.5,0,0,0,0,0,0,0
2.599999905,-2.400000095,0,0,0,0,0,0,0
2.700000048,-2.299999952,0,0,0,0,0,0,0
2.799999952,-2.200000048,0,0,0,0,0,0,0
2.900000095,-2.099999905,0,0,0,0,0,0,0
3,-2,0,0,0,0,0,0,0
3.100000024,-1.899999976,0,0,0,0.01143726513,0.009774864167,0.01060606465,0.8807522655
3.200000048,-1.799999952,0,0,0,0.1844694975,0.174873807,0.1796716522,10.04446602
3.299999952,-1.700000048,0,0,0,1.159507524,1.158715939,1.159111731,38.08041763
3.399999976,-1.600000024,2.427214861,2.427214861,2.427214861,5.885410075,5.878940707,5.882175391,66.75496674
3.5,-1.5,19.58717155,19.58717155,19.58717155,24.37035043,24.37813904,24.37424474,90.14323425
3.600000024,-1.399999976,39.66938019,39.66938019,39.66938019,44.33782865,44.33691127,44.33736996,110.9850159
3.700000048,-1.299999952,56.61348724,56.61348724,56.61348724,61.04690125,61.04849451,61.04769788,128.7719269
3.799999952,-1.200000048,71.6871109,71.6871109,71.6871109,76.01678565,76.01782159,76.01730362,145.7624969
3.899999976,-1.100000024,84.08206177,84.08206177,84.08206177,88.37945934,88.37793505,88.3786972,160.3663635
4,-1,96.01647949,96.01647949,96.01647949,100.1809156,100.1827024,100.181809,174.0892639
4.100000024,-0.8999999762,105.4311676,105.4311676,105.4311676,109.6788,109.6821042,109.6804521,185.7233887
4.199999988,-0.8000000119,114.4382629,114.4382629,114.4382629,118.6668667,118.6677105,118.6672886,196.9048767
4.300000012,-0.6999999881,121.6664429,121.6664429,121.6664429,125.9065583,125.907471,125.9070147,205.8580017
4.399999976,-0.6000000238,128.5112152,128.5112152,128.5112152,132.7504614,132.7511216,132.7507915,214.2575836
4.5,-0.5,133.3113098,133.3113098,133.3113098,137.560166,137.5608162,137.5604911,220.2441254
4.599999994,-0.400000006,137.6929016,137.6929016,137.6929016,141.9290741,141.9295027,141.9292884,225.3901062
4.699999988,-0.3000000119,140.6749268,140.6749268,140.6749268,144.9100677,144.9102948,144.9101813,228.8978882
4.799999997,-0.200000003,143.3263702,143.3263702,143.3263702,147.5617464,147.5616869,147.5617167,232.0554962
4.899999999,-0.1000000015,144.4720306,144.4720306,144.4720306,148.7086011,148.7085651,148.7085831,233.46698
5,0,145.241333,145.241333,145.241333,149.4782609,149.4781943,149.4782276,234.3752136
5.100000001,0.1000000015,144.4720306,144.4720306,144.4720306,148.7086011,148.7085651,148.7085831,233.46698
5.200000003,0.200000003,143.3263702,143.3263702,143.3263702,147.5617464,147.5616869,147.5617167,232.0554962
5.300000012,0.3000000119,140.6749268,140.6749268,140.6749268,144.9100677,144.9102948,144.9101813,228.8978882
5.400000006,0.400000006,137.6929016,137.6929016,137.6929016,141.9290741,141.9295027,141.9292884,225.3901062
5.5,0.5,133.3113098,133.3113098,133.3113098,137.560166,137.5608162,137.5604911,220.2441254
5.600000024,0.6000000238,128.5112152,128.5112152,128.5112152,132.7504614,132.7511216,132.7507915,214.2575836
5.699999988,0.6999999881,121.6664429,121.6664429,121.6664429,125.9065583,125.907471,125.9070147,205.8580017
5.800000012,0.8000000119,114.4382629,114.4382629,114.4382629,118.6668667,118.6677105,118.6672886,196.9048767
5.899999976,0.8999999762,105.4311676,105.4311676,105.4311676,109.6788,109.6821042,109.6804521,185.7233887
6,1,96.01647949,96.01647949,96.01647949,100.1809156,100.1827024,100.181809,174.0892639
6.100000024,1.100000024,84.08206177,84.08206177,84.08206177,88.37945934,88.37793505,88.3786972,160.3663635
6.200000048,1.200000048,71.6871109,71.6871109,71.6871109,76.01678565,76.01782159,76.01730362,145.7624969
6.299999952,1.299999952,56.61348724,56.61348724,56.61348724,61.04690125,61.04849451,61.04769788,128.7719269
6.399999976,1.399999976,39.66938019,39.66938019,39.66938019,44.33782865,44.33691127,44.33736996,110.9850159
6.5,1.5,19.58717155,19.58717155,19.58717155,24.37035043,24.37813904,24.37424474,90.14323425
6.600000024,1.600000024,2.427214861,2.427214861,2.427214861,5.885410075,5.878940707,5.882175391,66.75496674
6.700000048,1.700000048,0,0,0,1.159507524,1.158715939,1.159111731,38.08041763
6.799999952,1.799999952,0,0,0,0.1844694975,0.174873807,0.1796716522,10.04446602
6.899999976,1.899999976,0,0,0,0.01143726513,0.009774864167,0.01060606465,0.8807522655
7,2,0,0,0,0,0,0,0
7.099999905,2.099999905,0,0,0,0,0,0,0
7.200000048,2.200000048,0,0,0,0,0,0,0
7.299999952,2.299999952,0,0,0,0,0,0,0
7.400000095,2.400000095,0,0,0,0,0,0,0
7.5,2.5,0,0,0,0,0,0,0
7.599999905,2.599999905,0,0,0,0,0,0,0
7.700000048,2.700000048,0,0,0,0,0,0,0
7.799999952,2.799999952,0,0,0,0,0,0,0
7.900000095,2.900000095,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0
8.099999905,3.099999905,0,0,0,0,0,0,0
8.200000048,3.200000048,0,0,0,0,0,0,0
8.299999952,3.299999952,0,0,0,0,0,0,0
8.400000095,3.400000095,0,0,0,0,0,0,0
8.5,3.5,0,0,0,0,0,0,0
8.599999905,3.599999905,0,0,0,0,0,0,0
8.700000048,3.700000048,0,0,0,0,0,0,0
8.799999952,3.799999952,0,0,0,0,0,0,0
8.900000095,3.900000095,0,0,0,0,0,0,0
9,4,0,0,0,0,0,0,0
9.099999905,4.099999905,0,0,0,0,0,0,0
9.199999809,4.199999809,0,0,0,0,0,0,0
9.300000191,4.300000191,0,0,0,0,0,0,0
9.400000095,4.400000095,0,0,0,0,0,0,0
9.5,4.5,0,0,0,0,0,0,0
9.599999905,4.599999905,0,0,0,0,0,0,0
9.699999809,4.699999809,0,0,0,0,0,0,0
9.800000191,4.800000191,0,0,0,0,0,0,0
9.900000095,4.900000095,0,0,0,0,0,0,0
10,5,0,0,0,0,0,0,0
