metric,value
odb_path,E:\abaqus\3Dfuxian\SelfSupport_YanshanParam_LocalStaticPress_NoUnload_D900_10pct_RefinedZ.odb
roll_diameter_mm,900
roll_radius_mm,450
film_Z_mesh_size_mm,0.5
roller_Z_mesh_size_mm,2
prescribed_upper_roll_U2_mm,-0.015
target_nominal_gap_mm,0.135
max_upper_RF2_model_N_signed,-8390.780273
max_upper_RF2_full_equiv_N_abs,33563.12109
line_force_full_equiv_N_per_mm,335.6312109
max_CPRESS_MPa,234.3752136
max_Mises_film_MPa,206.3560486
max_PRESS_from_S_MPa,94.36026001
min_PRESS_from_S_MPa,-0.7527385553
LE22_max,0.0002223403571
LE22_min,-0.0332667008
PE22_max,0.002862267429
PE22_min,0
PEvol_max,0.01188100874
PEvol_min,0
PEvol_abs_max,0.01188100874
hold_global_average_thickness_mm,0.1492739244
hold_contact_X_0_to_2p6_average_thickness_mm,0.1486285344
hold_center_X_0_to_0p5_average_thickness_mm,0.1469041167
profile_min_thickness_mm,0.1448729634
profile_max_thickness_mm,0.1468911469
ALLPD_final,-1.0357126
ALLIE_final,56.60068512
ALLSD_final,0
ALLSD_over_ALLIE,0
