X_distance_from_deformation_center_mm,initial_thickness_um,D900_refinedZ_10pct_hold_thickness_um,compression_from_initial_um,inside_nominal_contact_X_abs_le_2p6
-5,150,150.000006,-5.960464478e-06,NO
-4.900000095,150,150.000006,-5.960464478e-06,NO
-4.800000191,150,150.000006,-5.960464478e-06,NO
-4.699999809,150,150.000006,-5.960464478e-06,NO
-4.599999905,150,150.000006,-5.960464478e-06,NO
-4.5,150,150.000006,-5.960464478e-06,NO
-4.400000095,150,150.000006,-5.960464478e-06,NO
-4.300000191,150,150.000006,-5.960464478e-06,NO
-4.199999809,150,150.000006,-5.960464478e-06,NO
-4.099999905,150,150.000006,-5.960464478e-06,NO
-4,150,150.000006,-5.960464478e-06,NO
-3.900000095,150,150.000006,-5.960464478e-06,NO
-3.799999952,150,150.000006,-5.960464478e-06,NO
-3.700000048,150,150.000006,-5.960464478e-06,NO
-3.599999905,150,150.000006,-5.960464478e-06,NO
-3.5,150,150.000006,-5.960464478e-06,NO
-3.400000095,150,150.000006,-5.960464478e-06,NO
-3.299999952,150,150.000006,-5.960464478e-06,NO
-3.200000048,150,150.000006,-5.960464478e-06,NO
-3.099999905,150,150.000006,-5.960464478e-06,NO
-3,150,150.000006,-5.960464478e-06,NO
-2.900000095,150,150.000006,-5.960464478e-06,NO
-2.799999952,150,150.000006,-5.960464478e-06,NO
-2.700000048,150,150.000006,-5.960464478e-06,NO
-2.599999905,150,149.9999911,8.940696716e-06,YES
-2.5,150,150.0000209,-2.086162567e-05,YES
-2.400000095,150,149.9999762,2.384185791e-05,YES
-2.299999952,150,150.0000507,-5.066394806e-05,YES
-2.200000048,150,149.9999166,8.344650269e-05,YES
-2.099999905,150,150.0001252,-0.000125169754,YES
-2,150,149.9997824,0.0002175569534,YES
-1.899999976,150,150.0008553,-0.0008553266525,YES
-1.799999952,150,149.9964893,0.003510713577,YES
-1.700000048,150,150.0089169,-0.008916854858,YES
-1.600000024,150,150.003016,-0.003015995026,YES
-1.5,150,149.5854706,0.4145294428,YES
-1.399999976,150,149.1800398,0.8199602365,YES
-1.299999952,150,148.855105,1.144894958,YES
-1.200000048,150,148.5310197,1.468980312,YES
-1.100000024,150,148.2676119,1.732388139,YES
-1,150,148.0095387,1.990461349,YES
-0.8999999762,150,147.8008181,2.199181914,YES
-0.8000000119,150,147.5968063,2.403193712,YES
-0.6999999881,150,147.4392414,2.560758591,YES
-0.6000000238,150,147.2857296,2.714270353,YES
-0.5,150,147.1734047,2.826595306,YES
-0.400000006,150,147.0643878,2.935612202,YES
-0.3000000119,150,146.9978392,3.002160788,YES
-0.200000003,150,146.9341218,3.065878153,YES
-0.1000000015,150,146.9112337,3.088766336,YES
0,150,146.8911469,3.108853102,YES
0.1000000015,150,146.9112337,3.088766336,YES
0.200000003,150,146.9341218,3.065878153,YES
0.3000000119,150,146.9978392,3.002160788,YES
0.400000006,150,147.0643878,2.935612202,YES
0.5,150,147.1734047,2.826595306,YES
0.6000000238,150,147.2857296,2.714270353,YES
0.6999999881,150,147.4392414,2.560758591,YES
0.8000000119,150,147.5968063,2.403193712,YES
0.8999999762,150,147.8008181,2.199181914,YES
1,150,148.0095387,1.990461349,YES
1.100000024,150,148.2676119,1.732388139,YES
1.200000048,150,148.5310197,1.468980312,YES
1.299999952,150,148.855105,1.144894958,YES
1.399999976,150,149.1800398,0.8199602365,YES
1.5,150,149.5854706,0.4145294428,YES
1.600000024,150,150.003016,-0.003015995026,YES
1.700000048,150,150.0089169,-0.008916854858,YES
1.799999952,150,149.9964893,0.003510713577,YES
1.899999976,150,150.0008553,-0.0008553266525,YES
2,150,149.9997824,0.0002175569534,YES
2.099999905,150,150.0001252,-0.000125169754,YES
2.200000048,150,149.9999166,8.344650269e-05,YES
2.299999952,150,150.0000507,-5.066394806e-05,YES
2.400000095,150,149.9999762,2.384185791e-05,YES
2.5,150,150.0000209,-2.086162567e-05,YES
2.599999905,150,149.9999911,8.940696716e-06,YES
2.700000048,150,150.000006,-5.960464478e-06,NO
2.799999952,150,150.000006,-5.960464478e-06,NO
2.900000095,150,150.000006,-5.960464478e-06,NO
3,150,150.000006,-5.960464478e-06,NO
3.099999905,150,150.000006,-5.960464478e-06,NO
3.200000048,150,150.000006,-5.960464478e-06,NO
3.299999952,150,150.000006,-5.960464478e-06,NO
3.400000095,150,150.000006,-5.960464478e-06,NO
3.5,150,150.000006,-5.960464478e-06,NO
3.599999905,150,150.000006,-5.960464478e-06,NO
3.700000048,150,150.000006,-5.960464478e-06,NO
3.799999952,150,150.000006,-5.960464478e-06,NO
3.900000095,150,150.000006,-5.960464478e-06,NO
4,150,150.000006,-5.960464478e-06,NO
4.099999905,150,150.000006,-5.960464478e-06,NO
4.199999809,150,150.000006,-5.960464478e-06,NO
4.300000191,150,150.000006,-5.960464478e-06,NO
4.400000095,150,150.000006,-5.960464478e-06,NO
4.5,150,150.000006,-5.960464478e-06,NO
4.599999905,150,150.000006,-5.960464478e-06,NO
4.699999809,150,150.000006,-5.960464478e-06,NO
4.800000191,150,150.000006,-5.960464478e-06,NO
4.900000095,150,150.000006,-5.960464478e-06,NO
5,150,150.000006,-5.960464478e-06,NO
