Z_distance_from_center_mm,initial_thickness_um,D900_refinedZ_no_unload_10pct_hold_thickness_um,change_from_initial_um
-50,150,144.8729634,-5.127036572
-49.5,150,145.3211308,-4.678869247
-49,150,145.7850337,-4.214966297
-48.5,150,146.2468505,-3.753149509
-48,150,146.7120051,-3.287994862
-47.5,150,146.6959715,-3.304028511
-47,150,146.68414,-3.315860033
-46.5,150,146.6687918,-3.331208229
-46,150,146.6552615,-3.344738483
-45.5,150,146.6809809,-3.319019079
-45,150,146.7069387,-3.293061256
-44.5,150,146.7325985,-3.267401457
-44,150,146.7586011,-3.241398931
-43.5,150,146.7665434,-3.233456612
-43,150,146.7747986,-3.225201368
-42.5,150,146.7827857,-3.217214346
-42,150,146.7909962,-3.209003806
-41.5,150,146.7966139,-3.203386068
-41,150,146.8022764,-3.197723627
-40.5,150,146.8078941,-3.192105889
-40,150,146.8135417,-3.186458349
-39.5,150,146.8178034,-3.182196617
-39,150,146.8221396,-3.177860379
-38.5,150,146.8264312,-3.173568845
-38,150,146.8307674,-3.169232607
-37.5,150,146.8334496,-3.166550398
-37,150,146.8361318,-3.163868189
-36.5,150,146.838814,-3.16118598
-36,150,146.8414962,-3.158503771
-35.5,150,146.8438506,-3.156149387
-35,150,146.846205,-3.153795004
-34.5,150,146.8485296,-3.151470423
-34,150,146.850884,-3.149116039
-33.5,150,146.8526125,-3.147387505
-33,150,146.8543559,-3.145644069
-32.5,150,146.8560845,-3.143915534
-32,150,146.857813,-3.142186999
-31.5,150,146.859318,-3.140681982
-31,150,146.860823,-3.139176965
-30.5,150,146.8623281,-3.137671947
-30,150,146.8638331,-3.13616693
-29.5,150,146.8650103,-3.134989738
-29,150,146.8662024,-3.133797646
-28.5,150,146.8673795,-3.132620454
-28,150,146.8685567,-3.131443262
-27.5,150,146.8695551,-3.130444884
-27,150,146.8705535,-3.129446507
-26.5,150,146.8715519,-3.128448129
-26,150,146.8725502,-3.127449751
-25.5,150,146.8733847,-3.126615286
-25,150,146.8742341,-3.12576592
-24.5,150,146.8750536,-3.124946356
-24,150,146.875903,-3.12409699
-23.5,150,146.8766034,-3.123396635
-23,150,146.8773186,-3.122681379
-22.5,150,146.8780339,-3.121966124
-22,150,146.8787491,-3.121250868
-21.5,150,146.8793601,-3.12063992
-21,150,146.8799561,-3.120043874
-20.5,150,146.8805671,-3.119432926
-20,150,146.881178,-3.118821979
-19.5,150,146.8816847,-3.118315339
-19,150,146.8822062,-3.117793798
-18.5,150,146.8827277,-3.117272258
-18,150,146.8832493,-3.116750717
-17.5,150,146.8836963,-3.116303682
-17,150,146.8841434,-3.115856647
-16.5,150,146.8845904,-3.115409613
-16,150,146.8850225,-3.114977479
