step,total_time,history_region,U2_model_mm,RF2_model_N,RF2_full_equiv_N
Clamp_Down,0,Node ASSEMBLY.1,0,-0,-0
Clamp_Down,0.02500000037,Node ASSEMBLY.1,-0.0003750000033,-87.17307281,-348.6922913
Clamp_Down,0.05000000075,Node ASSEMBLY.1,-0.0007500000065,-218.0084839,-872.0339355
Clamp_Down,0.07500000298,Node ASSEMBLY.1,-0.001124999952,-365.3424683,-1461.369873
Clamp_Down,0.1000000015,Node ASSEMBLY.1,-0.001500000013,-526.8522949,-2107.40918
Clamp_Down,0.125,Node ASSEMBLY.1,-0.001874999958,-697.015625,-2788.0625
Clamp_Down,0.150000006,Node ASSEMBLY.1,-0.002249999903,-871.3153687,-3485.261475
Clamp_Down,0.1875,Node ASSEMBLY.1,-0.002812500112,-1145.605103,-4582.42041
Clamp_Down,0.237499997,Node ASSEMBLY.1,-0.003562500002,-1526.665894,-6106.663574
Clamp_Down,0.287499994,Node ASSEMBLY.1,-0.004312499892,-1919.759277,-7679.037109
Clamp_Down,0.337500006,Node ASSEMBLY.1,-0.005062500015,-2326.351562,-9305.40625
Clamp_Down,0.3874999881,Node ASSEMBLY.1,-0.005812500138,-2744.801025,-10979.2041
Clamp_Down,0.4375,Node ASSEMBLY.1,-0.006562499795,-3168.97168,-12675.88672
Clamp_Down,0.4875000119,Node ASSEMBLY.1,-0.007312499918,-3604.439941,-14417.75977
Clamp_Down,0.5375000238,Node ASSEMBLY.1,-0.008062499575,-4045.080811,-16180.32324
Clamp_Down,0.5874999762,Node ASSEMBLY.1,-0.008812500164,-4494.718262,-17978.87305
Clamp_Down,0.6374999881,Node ASSEMBLY.1,-0.009562499821,-4946.946289,-19787.78516
Clamp_Down,0.6875,Node ASSEMBLY.1,-0.01031250041,-5408.318359,-21633.27344
Clamp_Down,0.7375000119,Node ASSEMBLY.1,-0.01106250007,-5872.633789,-23490.53516
Clamp_Down,0.7875000238,Node ASSEMBLY.1,-0.01181249972,-6344.092773,-25376.37109
Clamp_Down,0.8374999762,Node ASSEMBLY.1,-0.01256250031,-6819.254395,-27277.01758
Clamp_Down,0.8874999881,Node ASSEMBLY.1,-0.01331249997,-7296.571289,-29186.28516
Clamp_Down,0.9375,Node ASSEMBLY.1,-0.01406249963,-7781.891113,-31127.56445
Clamp_Down,0.9875000119,Node ASSEMBLY.1,-0.01481250022,-8268.711914,-33074.84766
Clamp_Down,1,Node ASSEMBLY.1,-0.01499999966,-8390.779297,-33563.11719
Hold,1,Node ASSEMBLY.1,-0.01499999966,-8390.779297,-33563.11719
Hold,2,Node ASSEMBLY.1,-0.01499999966,-8390.780273,-33563.12109
