Z_distance_from_center_mm,initial_thickness_um,no_unload_hold_thickness_um,change_from_initial_um
-50,150,146.3284194,-3.671580553
-49,150,146.3738084,-3.626191616
-48,150,146.42784,-3.572160006
-47,150,146.4817077,-3.518292308
-46,150,146.535188,-3.46481204
-45,150,146.5884,-3.411599994
-44,150,146.6421783,-3.357821703
-43,150,146.695435,-3.304564953
-42,150,146.7492282,-3.250771761
-41,150,146.8023658,-3.19763422
-40,150,146.8561888,-3.143811226
-39,150,146.863997,-3.136003017
-38,150,146.8721926,-3.127807379
-37,150,146.8800306,-3.119969368
-36,150,146.8880922,-3.11190784
-35,150,146.8960047,-3.103995323
-34,150,146.9040215,-3.095978498
-33,150,146.9119489,-3.088051081
-32,150,146.9199657,-3.080034256
-31,150,146.9278634,-3.072136641
-30,150,146.9358951,-3.064104915
-29,150,146.9278932,-3.072106838
-28,150,146.9200253,-3.079974651
-27,150,146.9120532,-3.087946773
-26,150,146.9041109,-3.095889091
-25,150,146.8961537,-3.103846312
-24,150,146.8882263,-3.111773729
-23,150,146.8802691,-3.119730949
-22,150,146.8723267,-3.127673268
-21,150,146.864444,-3.135555983
-20,150,146.856457,-3.143543005
-19,150,146.8661129,-3.133887053
-18,150,146.8757093,-3.124290705
-17,150,146.8853652,-3.114634752
-16,150,146.8950063,-3.104993701
-15,150,146.9046474,-3.09535265
-14,150,146.9143033,-3.085696697
-13,150,146.9239593,-3.076040745
-12,150,146.9335556,-3.066444397
-11,150,146.9430625,-3.056937456
-10,150,146.9527781,-3.047221899
-9,150,146.9447315,-3.055268526
-8,150,146.9368339,-3.063166142
-7,150,146.9288766,-3.071123362
-6,150,146.92083,-3.079169989
-5,150,146.9128281,-3.087171912
-4,150,146.9048262,-3.095173836
-3,150,146.8968093,-3.10319066
-2,150,146.8887627,-3.111237288
-1,150,146.8808055,-3.119194508
0,150,146.8727589,-3.127241135
1,150,146.8808055,-3.119194508
2,150,146.8887627,-3.111237288
3,150,146.8968093,-3.10319066
4,150,146.9048262,-3.095173836
5,150,146.9128281,-3.087171912
6,150,146.92083,-3.079169989
7,150,146.9288766,-3.071123362
8,150,146.9368339,-3.063166142
9,150,146.9447315,-3.055268526
10,150,146.9527781,-3.047221899
11,150,146.9430625,-3.056937456
12,150,146.9335556,-3.066444397
13,150,146.9239593,-3.076040745
14,150,146.9143033,-3.085696697
15,150,146.9046474,-3.09535265
16,150,146.8950063,-3.104993701
17,150,146.8853652,-3.114634752
18,150,146.8757093,-3.124290705
19,150,146.8661129,-3.133887053
20,150,146.856457,-3.143543005
21,150,146.864444,-3.135555983
22,150,146.8723267,-3.127673268
23,150,146.8802691,-3.119730949
24,150,146.8882263,-3.111773729
25,150,146.8961537,-3.103846312
26,150,146.9041109,-3.095889091
27,150,146.9120532,-3.087946773
28,150,146.9200253,-3.079974651
29,150,146.9278932,-3.072106838
30,150,146.9358951,-3.064104915
31,150,146.9278634,-3.072136641
32,150,146.9199657,-3.080034256
33,150,146.9119489,-3.088051081
34,150,146.9040215,-3.095978498
35,150,146.8960047,-3.103995323
36,150,146.8880922,-3.11190784
37,150,146.8800306,-3.119969368
38,150,146.8721926,-3.127807379
39,150,146.863997,-3.136003017
40,150,146.8561888,-3.143811226
41,150,146.8023658,-3.19763422
42,150,146.7492282,-3.250771761
43,150,146.695435,-3.304564953
44,150,146.6421783,-3.357821703
45,150,146.5884,-3.411599994
46,150,146.535188,-3.46481204
47,150,146.4817077,-3.518292308
48,150,146.42784,-3.572160006
49,150,146.3738084,-3.626191616
50,150,146.3284194,-3.671580553
