metric,value
odb_path,E:\abaqus\3Dfuxian\SelfSupport_YanshanParam_LocalStaticPress.odb
symmetry_factor_XZ,4
max_upper_RF2_loaded_steps_model_N_signed,-8310.285156
max_upper_RF2_loaded_steps_full_equiv_N_abs,33241.14062
line_force_loaded_steps_abs_RF2_over_width_N_per_mm,332.4114063
max_upper_RF2_all_steps_model_N_signed_diagnostic,136532.2812
max_CPRESS_MPa,172.8892212
max_PRESS_from_S_MPa,69.86527507
min_PRESS_from_S_MPa,-0.6725718975
hold_global_average_thickness_mm,0.1492834336
hold_contact_X_0_to_2p6_average_thickness_mm,0.1486465039
hold_center_X_0_to_0p5_average_thickness_mm,0.1469448055
unload_residual_global_average_thickness_mm,0.1500652997
unload_residual_contact_X_0_to_2p6_average_thickness_mm,0.1501234087
unload_residual_center_X_0_to_0p5_average_thickness_mm,0.1502216104
PEvol_max,0.0082010068
PEvol_min,0
PEvol_abs_max,0.0082010068
ALLPD_final,-1.050290346
ALLIE_final,71.02388
ALLSD_final,1789.398193
ALLSD_over_ALLIE,25.19431765
judgement,自动稳定能量偏大，未满足可信塑性压实判据，结果仅作趋势参考
