Z_distance_from_center_mm,initial_thickness_um,hold_thickness_um,unload_thickness_um,hold_change_from_initial_um,unload_change_from_initial_um
-50,150,146.3284194,150.3154039,-3.671580553,0.3154039383
-49,150,146.3738084,150.2486467,-3.626191616,0.2486467361
-48,150,146.42784,150.2293348,-3.572160006,0.2293348312
-47,150,146.4817077,150.2424777,-3.518292308,0.2424776554
-46,150,146.535188,150.2284706,-3.46481204,0.2284705639
-45,150,146.5884,150.2317786,-3.411599994,0.2317786217
-44,150,146.6421783,150.2223015,-3.357821703,0.2223014832
-43,150,146.695435,150.2245665,-3.304564953,0.2245664597
-42,150,146.7492282,150.2158493,-3.250771761,0.2158492804
-41,150,146.8023658,150.2164751,-3.19763422,0.2164751291
-40,150,146.8561888,150.216043,-3.143811226,0.2160429955
-39,150,146.863997,150.2126157,-3.136003017,0.2126157284
-38,150,146.8721926,150.2127647,-3.127807379,0.21276474
-37,150,146.8800306,150.2128243,-3.119969368,0.2128243446
-36,150,146.8880922,150.2126455,-3.11190784,0.2126455307
-35,150,146.8960047,150.2128989,-3.103995323,0.2128988504
-34,150,146.9040215,150.212869,-3.095978498,0.2128690481
-33,150,146.9119489,150.2132416,-3.088051081,0.2132415771
-32,150,146.9199657,150.2136886,-3.080034256,0.213688612
-31,150,146.9278634,150.2133012,-3.072136641,0.2133011818
-30,150,146.9358951,150.2153128,-3.064104915,0.2153128386
-29,150,146.9278932,150.2141953,-3.072106838,0.2141952515
-28,150,146.9200253,150.214538,-3.079974651,0.2145379782
-27,150,146.9120532,150.214389,-3.087946773,0.2143889666
-26,150,146.9041109,150.2146423,-3.095889091,0.2146422863
-25,150,146.8961537,150.2144337,-3.103846312,0.21443367
-24,150,146.8882263,150.2147913,-3.111773729,0.2147912979
-23,150,146.8802691,150.2145827,-3.119730949,0.2145826817
-22,150,146.8723267,150.2148211,-3.127673268,0.2148211002
-21,150,146.864444,150.2149701,-3.135555983,0.2149701118
-20,150,146.856457,150.2134204,-3.143543005,0.2134203911
-19,150,146.8661129,150.2145231,-3.133887053,0.214523077
-18,150,146.8757093,150.2142549,-3.124290705,0.2142548561
-17,150,146.8853652,150.2138078,-3.114634752,0.2138078213
-16,150,146.8950063,150.2138078,-3.104993701,0.2138078213
-15,150,146.9046474,150.2133161,-3.09535265,0.213316083
