step,total_time,history_region,U2_model_mm,RF2_model_N,RF2_full_equiv_N
Clamp_Down,0,Node ASSEMBLY.1,0,-0,-0
Clamp_Down,0.02500000037,Node ASSEMBLY.1,-0.0003750000033,-85.82662201,-343.306488
Clamp_Down,0.05000000075,Node ASSEMBLY.1,-0.0007500000065,-215.4820709,-861.9282837
Clamp_Down,0.07500000298,Node ASSEMBLY.1,-0.001124999952,-360.690155,-1442.76062
Clamp_Down,0.1000000015,Node ASSEMBLY.1,-0.001500000013,-520.3756714,-2081.502686
Clamp_Down,0.125,Node ASSEMBLY.1,-0.001874999958,-689.5292358,-2758.116943
Clamp_Down,0.162499994,Node ASSEMBLY.1,-0.00243750005,-950.6292114,-3802.516846
Clamp_Down,0.212500006,Node ASSEMBLY.1,-0.00318749994,-1319.102417,-5276.409668
Clamp_Down,0.2624999881,Node ASSEMBLY.1,-0.003937500063,-1703.280273,-6813.121094
Clamp_Down,0.3125,Node ASSEMBLY.1,-0.004687500186,-2100.352051,-8401.408203
Clamp_Down,0.3625000119,Node ASSEMBLY.1,-0.005437499844,-2508.832764,-10035.33105
Clamp_Down,0.412499994,Node ASSEMBLY.1,-0.006187499966,-2926.452637,-11705.81055
Clamp_Down,0.462500006,Node ASSEMBLY.1,-0.006937500089,-3351.86499,-13407.45996
Clamp_Down,0.5124999881,Node ASSEMBLY.1,-0.007687500212,-3785.359619,-15141.43848
Clamp_Down,0.5625,Node ASSEMBLY.1,-0.008437500335,-4227.321777,-16909.28711
Clamp_Down,0.6125000119,Node ASSEMBLY.1,-0.009187499993,-4673.79541,-18695.18164
Clamp_Down,0.6625000238,Node ASSEMBLY.1,-0.00993749965,-5125.978027,-20503.91211
Clamp_Down,0.7124999762,Node ASSEMBLY.1,-0.01068750024,-5584.811035,-22339.24414
Clamp_Down,0.7624999881,Node ASSEMBLY.1,-0.0114374999,-6048.111328,-24192.44531
Clamp_Down,0.8125,Node ASSEMBLY.1,-0.01218749955,-6517.631836,-26070.52734
Clamp_Down,0.8625000119,Node ASSEMBLY.1,-0.01293750014,-6988.757324,-27955.0293
Clamp_Down,0.9125000238,Node ASSEMBLY.1,-0.0136874998,-7465.98584,-29863.94336
Clamp_Down,0.9624999762,Node ASSEMBLY.1,-0.01443750039,-7947.588867,-31790.35547
Clamp_Down,1,Node ASSEMBLY.1,-0.01499999966,-8310.276367,-33241.10547
Hold,1,Node ASSEMBLY.1,-0.01499999966,-8310.276367,-33241.10547
Hold,2,Node ASSEMBLY.1,-0.01499999966,-8310.285156,-33241.14062
Unload,2,Node ASSEMBLY.1,-0.01499999966,-8310.285156,-33241.14062
Unload,2.0125,Node ASSEMBLY.1,-0.01481250022,-6787.097168,-27148.38867
Unload,2.025,Node ASSEMBLY.1,-0.01462499984,29034.40625,116137.625
Unload,2.043749999,Node ASSEMBLY.1,-0.01434374973,50937.44141,203749.7656
Unload,2.068750001,Node ASSEMBLY.1,-0.0139687499,69778.39062,279113.5625
Unload,2.09375,Node ASSEMBLY.1,-0.01359375007,83492.375,333969.5
Unload,2.118749999,Node ASSEMBLY.1,-0.01321875025,93882.64844,375530.5938
Unload,2.143749997,Node ASSEMBLY.1,-0.01284375042,101892.5938,407570.375
Unload,2.168750003,Node ASSEMBLY.1,-0.01246874966,108127.7109,432510.8438
Unload,2.193749994,Node ASSEMBLY.1,-0.01209374983,113014.4141,452057.6562
Unload,2.21875,Node ASSEMBLY.1,-0.01171875,116866.1641,467464.6562
Unload,2.243750006,Node ASSEMBLY.1,-0.01134375017,119918.5,479674
Unload,2.268750012,Node ASSEMBLY.1,-0.01096875034,122350.6484,489402.5938
Unload,2.293749988,Node ASSEMBLY.1,-0.01059374958,124300.1641,497200.6562
Unload,2.318749994,Node ASSEMBLY.1,-0.01021874975,125873.1875,503492.75
Unload,2.34375,Node ASSEMBLY.1,-0.009843749925,127152,508608
Unload,2.368750006,Node ASSEMBLY.1,-0.009468750097,128200.5625,512802.25
Unload,2.393750012,Node ASSEMBLY.1,-0.009093750268,129068.75,516275
Unload,2.418749988,Node ASSEMBLY.1,-0.00871875044,129795.4844,519181.9375
Unload,2.443749994,Node ASSEMBLY.1,-0.00834374968,130411.2266,521644.9062
Unload,2.46875,Node ASSEMBLY.1,-0.007968749851,130939.8203,523759.2812
Unload,2.493750006,Node ASSEMBLY.1,-0.007593750022,131399.9375,525599.75
Unload,2.518750012,Node ASSEMBLY.1,-0.007218750194,131806.2656,527225.0625
Unload,2.543749988,Node ASSEMBLY.1,-0.006843749899,132170.2812,528681.125
Unload,2.568750024,Node ASSEMBLY.1,-0.006468750071,132501.0156,530004.0625
Unload,2.59375,Node ASSEMBLY.1,-0.006093749776,132805.5938,531222.375
Unload,2.618749976,Node ASSEMBLY.1,-0.005718749948,133089.5625,532358.25
Unload,2.643750012,Node ASSEMBLY.1,-0.005343750119,133357.3125,533429.25
Unload,2.668749988,Node ASSEMBLY.1,-0.004968749825,133612.3125,534449.25
Unload,2.693750024,Node ASSEMBLY.1,-0.004593749996,133857.25,535429
Unload,2.71875,Node ASSEMBLY.1,-0.004218750168,134094.2812,536377.125
Unload,2.743749976,Node ASSEMBLY.1,-0.003843750106,134325.0781,537300.3125
Unload,2.768750012,Node ASSEMBLY.1,-0.003468750045,134550.9688,538203.875
Unload,2.793749988,Node ASSEMBLY.1,-0.003093749983,134772.9844,539091.9375
Unload,2.818750024,Node ASSEMBLY.1,-0.002718749922,134991.9531,539967.8125
Unload,2.84375,Node ASSEMBLY.1,-0.002343750093,135208.5312,540834.125
Unload,2.868749976,Node ASSEMBLY.1,-0.001968750032,135423.2031,541692.8125
Unload,2.893750012,Node ASSEMBLY.1,-0.00159374997,135636.3906,542545.5625
Unload,2.918749988,Node ASSEMBLY.1,-0.001218750025,135848.4062,543393.625
Unload,2.943750024,Node ASSEMBLY.1,-0.0008437500219,136059.4844,544237.9375
Unload,2.96875,Node ASSEMBLY.1,-0.0004687499895,136269.8438,545079.375
Unload,2.969531238,Node ASSEMBLY.1,-0.0004570312449,136276.4219,545105.6875
Unload,2.970312476,Node ASSEMBLY.1,-0.0004453125002,136282.9844,545131.9375
Unload,2.971093774,Node ASSEMBLY.1,-0.0004335937556,136289.5625,545158.25
Unload,2.971875012,Node ASSEMBLY.1,-0.0004218750109,136296.125,545184.5
Unload,2.973046899,Node ASSEMBLY.1,-0.0004042968794,136305.9844,545223.9375
Unload,2.974804699,Node ASSEMBLY.1,-0.0003779296821,136320.7656,545283.0625
Unload,2.975463867,Node ASSEMBLY.1,-0.000368042005,136326.3125,545305.25
Unload,2.976123035,Node ASSEMBLY.1,-0.0003581542987,136331.8438,545327.375
