nodeLabel,x_mm,y_mm,z_mm,CPRESS_MPa
1,50.0,0.0,12.5,0.0
2,50.0,0.15,12.5,0.0
3,50.0,0.15,25.0,0.0
4,50.0,0.0,25.0,0.0
5,0.0,0.15,12.5,0.0
6,0.0,0.15,25.0,0.0
7,0.0,0.0,25.0,0.0
8,0.0,0.0,12.5,0.0
9,50.0,0.15,5.0,0.0
10,50.0,0.0,5.0,0.0
11,50.0,0.0,1.0,0.0
12,50.0,0.15,1.0,0.0
13,0.0,0.0,5.0,0.0
14,0.0,0.0,1.0,0.0
15,0.0,0.15,1.0,0.0
16,0.0,0.15,5.0,0.0
17,0.0,0.15,0.0,0.0
18,0.0,0.0,0.0,0.0018495977856218815
19,50.0,0.15,0.0,0.0
20,50.0,0.0,0.0,0.0
21,50.0,0.03,12.5,0.0
22,50.0,0.06,12.5,0.0
23,50.0,0.09,12.5,0.0
24,50.0,0.12,12.5,0.0
25,50.0,0.15,15.0,0.0
26,50.0,0.15,17.5,0.0
27,50.0,0.15,20.0,0.0
28,50.0,0.15,22.5,0.0
29,50.0,0.12,25.0,0.0
30,50.0,0.09,25.0,0.0
31,50.0,0.06,25.0,0.0
32,50.0,0.03,25.0,0.0
33,50.0,0.0,22.5,0.0
34,50.0,0.0,20.0,0.0
35,50.0,0.0,17.5,0.0
36,50.0,0.0,15.0,0.0
37,0.0,0.12,12.5,0.0
38,0.0,0.09,12.5,0.0
39,0.0,0.06,12.5,0.0
40,0.0,0.03,12.5,0.0
41,0.0,0.15,22.5,0.0
42,0.0,0.15,20.0,0.0
43,0.0,0.15,17.5,0.0
44,0.0,0.15,15.0,0.0
45,0.0,0.03,25.0,0.0
46,0.0,0.06,25.0,0.0
47,0.0,0.09,25.0,0.0
48,0.0,0.12,25.0,0.0
49,0.0,0.0,15.0,0.0
50,0.0,0.0,17.5,0.0
51,0.0,0.0,20.0,0.0
52,0.0,0.0,22.5,0.0
53,47.5,0.0,25.0,0.0
54,45.0,0.0,25.0,0.0
55,42.5,0.0,25.0,0.0
56,40.0,0.0,25.0,0.0
57,37.5,0.0,25.0,0.0
58,35.0,0.0,25.0,0.0
59,32.5,0.0,25.0,0.0
60,30.0,0.0,25.0,0.0
61,27.5,0.0,25.0,0.0
62,25.0,0.0,25.0,0.0
63,22.5,0.0,25.0,0.0
64,20.0,0.0,25.0,0.0
65,17.5,0.0,25.0,0.0
66,15.0,0.0,25.0,0.0
67,12.5,0.0,25.0,0.0
68,10.0,0.0,25.0,0.0
69,7.5,0.0,25.0,0.0
70,5.0,0.0,25.0,0.0
71,2.5,0.0,25.0,0.0
72,2.5,0.0,12.5,0.0
73,5.0,0.0,12.5,0.0
74,7.5,0.0,12.5,0.0
75,10.0,0.0,12.5,0.0
76,12.5,0.0,12.5,0.0
77,15.0,0.0,12.5,0.0
78,17.5,0.0,12.5,0.0
79,20.0,0.0,12.5,0.0
80,22.5,0.0,12.5,0.0
81,25.0,0.0,12.5,0.0
82,27.5,0.0,12.5,0.0
83,30.0,0.0,12.5,0.0
84,32.5,0.0,12.5,0.0
85,35.0,0.0,12.5,0.0
86,37.5,0.0,12.5,0.0
87,40.0,0.0,12.5,0.0
88,42.5,0.0,12.5,0.0
89,45.0,0.0,12.5,0.0
90,47.5,0.0,12.5,0.0
91,2.5,0.15,25.0,0.0
92,5.0,0.15,25.0,0.0
93,7.5,0.15,25.0,0.0
94,10.0,0.15,25.0,0.0
95,12.5,0.15,25.0,0.0
96,15.0,0.15,25.0,0.0
97,17.5,0.15,25.0,0.0
98,20.0,0.15,25.0,0.0
99,22.5,0.15,25.0,0.0
100,25.0,0.15,25.0,0.0
101,27.5,0.15,25.0,0.0
102,30.0,0.15,25.0,0.0
103,32.5,0.15,25.0,0.0
104,35.0,0.15,25.0,0.0
105,37.5,0.15,25.0,0.0
106,40.0,0.15,25.0,0.0
107,42.5,0.15,25.0,0.0
108,45.0,0.15,25.0,0.0
109,47.5,0.15,25.0,0.0
110,47.5,0.15,12.5,0.0
111,45.0,0.15,12.5,0.0
112,42.5,0.15,12.5,0.0
113,40.0,0.15,12.5,0.0
114,37.5,0.15,12.5,0.0
115,35.0,0.15,12.5,0.0
116,32.5,0.15,12.5,0.0
117,30.0,0.15,12.5,0.0
118,27.5,0.15,12.5,0.0
119,25.0,0.15,12.5,0.0
120,22.5,0.15,12.5,0.0
121,20.0,0.15,12.5,0.0
122,17.5,0.15,12.5,0.0
123,15.0,0.15,12.5,0.0
124,12.5,0.15,12.5,0.0
125,10.0,0.15,12.5,0.0
126,7.5,0.15,12.5,0.0
127,5.0,0.15,12.5,0.0
128,2.5,0.15,12.5,0.0
129,50.0,0.12,5.0,0.0
130,50.0,0.09,5.0,0.0
131,50.0,0.06,5.0,0.0
132,50.0,0.03,5.0,0.0
133,50.0,0.0,4.428571,0.0
134,50.0,0.0,3.857143,0.0
135,50.0,0.0,3.2857144,0.0
136,50.0,0.0,2.7142856,0.0
137,50.0,0.0,2.142857,0.0
138,50.0,0.0,1.5714285,0.0
139,50.0,0.03,1.0,0.0
140,50.0,0.06,1.0,0.0
141,50.0,0.09,1.0,0.0
142,50.0,0.12,1.0,0.0
143,50.0,0.15,1.5714285,0.0
144,50.0,0.15,2.142857,0.0
145,50.0,0.15,2.7142856,0.0
146,50.0,0.15,3.2857144,0.0
147,50.0,0.15,3.857143,0.0
148,50.0,0.15,4.428571,0.0
149,0.0,0.03,5.0,0.0
150,0.0,0.06,5.0,0.0
151,0.0,0.09,5.0,0.0
152,0.0,0.12,5.0,0.0
153,0.0,0.0,1.5714285,0.0
154,0.0,0.0,2.142857,0.0
155,0.0,0.0,2.7142856,0.0
156,0.0,0.0,3.2857144,0.0
157,0.0,0.0,3.857143,0.0
158,0.0,0.0,4.428571,0.0
159,0.0,0.12,1.0,0.0
160,0.0,0.09,1.0,0.0
161,0.0,0.06,1.0,0.0
162,0.0,0.03,1.0,0.0
163,0.0,0.15,4.428571,0.0
164,0.0,0.15,3.857143,0.0
165,0.0,0.15,3.2857144,0.0
166,0.0,0.15,2.7142856,0.0
167,0.0,0.15,2.142857,0.0
168,0.0,0.15,1.5714285,0.0
169,47.5,0.15,1.0,0.0
170,45.0,0.15,1.0,0.0
171,42.5,0.15,1.0,0.0
172,40.0,0.15,1.0,0.0
173,37.5,0.15,1.0,0.0
174,35.0,0.15,1.0,0.0
175,32.5,0.15,1.0,0.0
176,30.0,0.15,1.0,0.0
177,27.5,0.15,1.0,0.0
178,25.0,0.15,1.0,0.0
179,22.5,0.15,1.0,0.0
180,20.0,0.15,1.0,0.0
181,17.5,0.15,1.0,0.0
182,15.0,0.15,1.0,0.0
183,12.5,0.15,1.0,0.0
184,10.0,0.15,1.0,0.0
185,7.5,0.15,1.0,0.0
186,5.0,0.15,1.0,0.0
187,2.5,0.15,1.0,0.0
188,2.5,0.15,5.0,0.0
189,5.0,0.15,5.0,0.0
190,7.5,0.15,5.0,0.0
191,10.0,0.15,5.0,0.0
192,12.5,0.15,5.0,0.0
193,15.0,0.15,5.0,0.0
194,17.5,0.15,5.0,0.0
195,20.0,0.15,5.0,0.0
