record_type,step_name,step_time,total_time,u2_mm,rf2_N,stress_avg_MPa,strain_eng,metric,value,unit,criterion_met,note
HISTORY,Step-1 Compression,0.0,0.0,0.0,-0.0,0.0,0.0,,,,,
HISTORY,Step-1 Compression,0.019999999552965164,0.019999999552965164,-0.0003000000142492354,-1.3459933996200562,1.3459933996200562,0.0020000000949949026,,,,,
HISTORY,Step-1 Compression,0.03999999910593033,0.03999999910593033,-0.0006000000284984708,-2.682452917098999,2.682452917098999,0.004000000189989805,,,,,
HISTORY,Step-1 Compression,0.07000000029802322,0.07000000029802322,-0.0010499999625608325,-4.692912578582764,4.692912578582764,0.00699999975040555,,,,,
HISTORY,Step-1 Compression,0.11500000208616257,0.11500000208616257,-0.001724999980069697,-7.721932888031006,7.721932888031006,0.011499999867131313,,,,,
HISTORY,Step-1 Compression,0.16500000655651093,0.16500000655651093,-0.002474999986588955,-10.87961196899414,10.87961196899414,0.016499999910593033,,,,,
HISTORY,Step-1 Compression,0.2150000035762787,0.2150000035762787,-0.0032250001095235348,-12.145179748535156,12.145179748535156,0.0215000007301569,,,,,
HISTORY,Step-1 Compression,0.26499998569488525,0.26499998569488525,-0.003975000232458115,-13.34557056427002,13.34557056427002,0.026500001549720764,,,,,
HISTORY,Step-1 Compression,0.3149999976158142,0.3149999976158142,-0.004724999889731407,-14.517318725585938,14.517318725585938,0.03149999926487605,,,,,
HISTORY,Step-1 Compression,0.36500000953674316,0.36500000953674316,-0.005475000012665987,-15.66948127746582,15.66948127746582,0.03650000008443992,,,,,
HISTORY,Step-1 Compression,0.41499999165534973,0.41499999165534973,-0.006225000135600567,-16.808528900146484,16.808528900146484,0.041500000904003784,,,,,
HISTORY,Step-1 Compression,0.4650000035762787,0.4650000035762787,-0.006974999792873859,-17.93967628479004,17.93967628479004,0.046499998619159065,,,,,
HISTORY,Step-1 Compression,0.5149999856948853,0.5149999856948853,-0.007724999915808439,-19.06770133972168,19.06770133972168,0.05149999943872293,,,,,
HISTORY,Step-1 Compression,0.5649999976158142,0.5649999976158142,-0.008475000038743019,-20.19476890563965,20.19476890563965,0.056500000258286796,,,,,
HISTORY,Step-1 Compression,0.6150000095367432,0.6150000095367432,-0.009224999696016312,-21.324167251586914,21.324167251586914,0.06149999797344208,,,,,
HISTORY,Step-1 Compression,0.6650000214576721,0.6650000214576721,-0.009975000284612179,-22.458019256591797,22.458019256591797,0.06650000189741453,,,,,
HISTORY,Step-1 Compression,0.7149999737739563,0.7149999737739563,-0.010724999941885471,-23.5980281829834,23.5980281829834,0.07149999961256981,,,,,
HISTORY,Step-1 Compression,0.7649999856948853,0.7649999856948853,-0.011474999599158764,-24.74555778503418,24.74555778503418,0.0764999973277251,,,,,
HISTORY,Step-1 Compression,0.8149999976158142,0.8149999976158142,-0.012225000187754631,-25.90394401550293,25.90394401550293,0.08150000125169754,,,,,
HISTORY,Step-1 Compression,0.8650000095367432,0.8650000095367432,-0.012974999845027924,-27.074949264526367,27.074949264526367,0.08649999896685283,,,,,
HISTORY,Step-1 Compression,0.9150000214576721,0.9150000214576721,-0.01372500043362379,-28.273082733154297,28.273082733154297,0.09150000289082527,,,,,
HISTORY,Step-1 Compression,0.9649999737739563,0.9649999737739563,-0.014475000090897083,-29.496212005615234,29.496212005615234,0.09650000060598056,,,,,
HISTORY,Step-1 Compression,1.0,1.0,-0.014999999664723873,-30.373329162597656,30.373329162597656,0.09999999776482582,,,,,
HISTORY,Step-2 Unload,0.0,1.0,-0.014999999664723873,-30.373329162597656,30.373329162597656,0.09999999776482582,,,,,
HISTORY,Step-2 Unload,0.019999999552965164,1.0199999995529652,-0.014700000174343586,-28.27879524230957,28.27879524230957,0.09800000116229057,,,,,
HISTORY,Step-2 Unload,0.03999999910593033,1.0399999991059303,-0.014399999752640724,-26.68477439880371,26.68477439880371,0.09599999835093817,,,,,
HISTORY,Step-2 Unload,0.05999999865889549,1.0599999986588955,-0.014100000262260437,-25.132036209106445,25.132036209106445,0.09400000174840292,,,,,
HISTORY,Step-2 Unload,0.09000000357627869,1.0900000035762787,-0.013650000095367432,-22.818147659301758,22.818147659301758,0.09100000063578288,,,,,
HISTORY,Step-2 Unload,0.13500000536441803,1.135000005364418,-0.012974999845027924,-19.36607551574707,19.36607551574707,0.08649999896685283,,,,,
HISTORY,Step-2 Unload,0.1850000023841858,1.1850000023841858,-0.012225000187754631,-15.554038047790527,15.554038047790527,0.08150000125169754,,,,,
HISTORY,Step-2 Unload,0.23499999940395355,1.2349999994039536,-0.011474999599158764,-11.774514198303223,11.774514198303223,0.0764999973277251,,,,,
HISTORY,Step-2 Unload,0.2849999964237213,1.2849999964237213,-0.010724999941885471,-8.288459777832031,8.288459777832031,0.07149999961256981,,,,,
HISTORY,Step-2 Unload,0.33500000834465027,1.3350000083446503,-0.009975000284612179,-5.360290050506592,5.360290050506592,0.06650000189741453,,,,,
HISTORY,Step-2 Unload,0.38499999046325684,1.3849999904632568,-0.009224999696016312,-3.2006354331970215,3.2006354331970215,0.06149999797344208,,,,,
HISTORY,Step-2 Unload,0.4350000023841858,1.4350000023841858,-0.008475000038743019,-1.583551049232483,1.583551049232483,0.056500000258286796,,,,,
HISTORY,Step-2 Unload,0.48500001430511475,1.4850000143051147,-0.007724999915808439,-0.5962942242622375,0.5962942242622375,0.05149999943872293,,,,,
HISTORY,Step-2 Unload,0.5350000262260437,1.5350000262260437,-0.006974999792873859,-0.3090859651565552,0.3090859651565552,0.046499998619159065,,,,,
HISTORY,Step-2 Unload,0.5849999785423279,1.5849999785423279,-0.006225000135600567,-0.16091325879096985,0.16091325879096985,0.041500000904003784,,,,,
HISTORY,Step-2 Unload,0.6349999904632568,1.6349999904632568,-0.005475000012665987,-0.08840882033109665,0.08840882033109665,0.03650000008443992,,,,,
HISTORY,Step-2 Unload,0.6850000023841858,1.6850000023841858,-0.004724999889731407,-0.057435762137174606,0.057435762137174606,0.03149999926487605,,,,,
HISTORY,Step-2 Unload,0.7350000143051147,1.7350000143051147,-0.003975000232458115,-0.03133004903793335,0.03133004903793335,0.026500001549720764,,,,,
HISTORY,Step-2 Unload,0.7850000262260437,1.7850000262260437,-0.0032250001095235348,-0.009270514361560345,0.009270514361560345,0.0215000007301569,,,,,
HISTORY,Step-2 Unload,0.8349999785423279,1.8349999785423279,-0.002474999986588955,-0.002221266506239772,0.002221266506239772,0.016499999910593033,,,,,
HISTORY,Step-2 Unload,0.8849999904632568,1.8849999904632568,-0.001724999980069697,-0.0,0.0,0.011499999867131313,,,,,
HISTORY,Step-2 Unload,0.9350000023841858,1.9350000023841858,-0.0009749999735504389,-0.0,0.0,0.006499999823669593,,,,,
HISTORY,Step-2 Unload,0.9850000143051147,1.9850000143051147,-0.00022499999613501132,-0.0,0.0,0.001499999974233409,,,,,
HISTORY,Step-2 Unload,1.0,2.0,0.0,-0.0,0.0,0.0,,,,,
SUMMARY,,,,,,,,minimum_total_thickness_compression,0.13526352008256157,mm,,
SUMMARY,,,,,,,,residual_total_thickness_unloaded,0.1404000795513994,mm,,
SUMMARY,,,,,,,,residual_active_layer_thickness,0.12342085039942075,mm,,
SUMMARY,,,,,,,,residual_al_collector_thickness,0.016979229151978657,mm,,
SUMMARY,,,,,,,,tie_interface_average_y_difference,0.0,mm,,活性层Tie面平均Y减集流体Tie面平均Y。
SUMMARY,,,,,,,,layer_sum_minus_total_thickness,0.0,mm,,
SUMMARY,,,,,,,,maximum_abs_RF2,30.373329162597656,N,,
SUMMARY,,,,,,,,maximum_average_compressive_stress,30.373329162597656,MPa,,
SUMMARY,,,,,,,,maximum_engineering_compressive_strain,0.09999999776482582,1,,
SUMMARY,,,,,,,,maximum_active_layer_PEEQ,0.13276469707489014,1,,
SUMMARY,,,,,,,,maximum_active_layer_Mises,24.914705276489258,MPa,,
SUMMARY,,,,,,,,maximum_al_collector_Mises,179.8120574951172,MPa,,
SUMMARY,,,,,,,,final_ALLPD,0.1452726274728775,N*mm,,
SUMMARY,,,,,,,,final_ALLIE,0.17058391869068146,N*mm,,
SUMMARY,,,,,,,,final_ALLSD,0.008334102109074593,N*mm,,
SUMMARY,,,,,,,,final_ALLSD_over_ALLIE,0.04885631760041084,1,False,判据：abs(ALLSD)/abs(ALLIE)<0.01
SUMMARY,,,,,,,,criterion_residual_total_thickness,0.1404000795513994,mm,True,
SUMMARY,,,,,,,,criterion_active_layer_PEEQ,0.13276469707489014,1,True,
SUMMARY,,,,,,,,criterion_ALLPD,0.1452726274728775,N*mm,True,
SUMMARY,,,,,,,,model_validity,NOT_VALID_FOR_2D_MACRO_ROLLING,,False,仅按用户规定的四项判据判断。
