initial_x_mm,initial_z_mm,final_mid_x_mm,final_actual_thickness_um,final_vertical_thickness_um,final_pair_cpress_mpa
-50.0,-50.0,-49.97960662841797,149.9999595185066,149.9994844198227,0.0
-50.0,-45.0,-49.9796142578125,150.0001582005779,149.9996781349182,0.0
-50.0,-40.0,-49.97960662841797,149.999978144962,149.9994993209839,0.0
-50.0,-35.0,-49.9796142578125,150.00017061819864,149.9996930360794,0.0
-50.0,-30.0,-49.9796028137207,149.99999677141503,149.99951422214508,0.0
-50.0,-25.0,-49.9796028137207,150.00010232127198,149.99961853027344,0.0
-50.0,-20.0,-49.97959899902344,149.99994710086844,149.9994695186615,0.0
-50.0,-15.0,-49.97959518432617,149.99998435377992,149.9994993209839,0.0
-50.0,-10.0,-49.979591369628906,149.99992226558896,149.9994397163391,0.0
-50.0,-5.0,-49.979591369628906,149.9999346832292,149.9994546175003,0.0
-50.0,0.0,-49.97959899902344,149.99987259501768,149.99939501285553,0.0
-50.0,5.0,-49.97958755493164,149.99992226558896,149.9994397163391,0.0
-50.0,10.0,-49.979591369628906,149.9998477597259,149.99936521053314,0.0
-50.0,15.0,-49.979591369628906,149.9999595185066,149.9994844198227,0.0
-50.0,20.0,-49.979591369628906,149.99987259501768,149.99939501285553,0.0
-50.0,25.0,-49.97959899902344,150.0000340243142,149.99955892562866,0.0
-50.0,30.0,-49.97959899902344,149.99990363912667,149.99942481517792,0.0
-50.0,35.0,-49.97960662841797,150.0001395741449,149.99966323375702,0.0
-50.0,40.0,-49.97959899902344,149.99991605676846,149.9994397163391,0.0
-50.0,45.0,-49.97960662841797,150.0001395741449,149.99966323375702,0.0
-50.0,50.0,-49.97959518432617,149.99989122148386,149.99940991401672,0.0
-48.5,-50.0,-48.47960662841797,149.99986017737228,149.99938011169434,0.0
-48.5,-45.0,-48.47962188720703,150.0000526507603,149.99957382678986,0.0
-48.5,-40.0,-48.4796142578125,149.9998415509023,149.99936521053314,0.0
-48.5,-35.0,-48.47962188720703,149.99999056259762,149.99951422214508,0.0
-48.5,-30.0,-48.47960662841797,149.99987259501768,149.99939501285553,0.0
-48.5,-25.0,-48.47960662841797,150.0000216066822,149.99954402446747,0.0
-48.5,-20.0,-48.47959899902344,149.999978144962,149.9994993209839,0.0
-48.5,-15.0,-48.47959899902344,150.0000961124589,149.99961853027344,0.0
-48.5,-10.0,-48.47959899902344,150.0000216066822,149.99954402446747,0.0
-48.5,-5.0,-48.479591369628906,150.0001395741449,149.99966323375702,0.0
-48.5,0.0,-48.47959899902344,150.00008369483203,149.99960362911224,0.0
-48.5,5.0,-48.479591369628906,150.00017061819864,149.9996930360794,0.0
-48.5,10.0,-48.479591369628906,150.0000526507603,149.99957382678986,0.0
-48.5,15.0,-48.47959899902344,150.0001395741449,149.99966323375702,0.0
-48.5,20.0,-48.47959899902344,150.00000918904914,149.99952912330627,0.0
-48.5,25.0,-48.47959899902344,150.0000961124589,149.99961853027344,0.0
-48.5,30.0,-48.47959899902344,149.99991605676846,149.9994397163391,0.0
-48.5,35.0,-48.4796142578125,150.0000526507603,149.99957382678986,0.0
-48.5,40.0,-48.47960662841797,149.99987259501768,149.99939501285553,0.0
-48.5,45.0,-48.4796142578125,150.00008369483203,149.99960362911224,0.0
-48.5,50.0,-48.47959899902344,149.99988501266205,149.99940991401672,0.0
-47.0,-50.0,-46.979610443115234,149.99999677141503,149.99952912330627,0.0
-47.0,-45.0,-46.97962188720703,150.00012715652161,149.99966323375702,0.0
-47.0,-40.0,-46.9796142578125,149.99999056259762,149.99952912330627,0.0
-47.0,-35.0,-46.97962188720703,150.00017061819864,149.9997079372406,0.0
-47.0,-30.0,-46.97960662841797,149.999978144962,149.99951422214508,0.0
-47.0,-25.0,-46.97960662841797,150.0001147388973,149.99964833259583,0.0
-47.0,-20.0,-46.9796028137207,149.99992226558896,149.9994546175003,0.0
-47.0,-15.0,-46.97959899902344,150.00001539786578,149.99955892562866,0.0
