instance,bin,z_avg_mm,node_count,mean_residual_u2_mm,surface_node_count,surface_mean_residual_u2_mm
UPPERROLLER-1,0,-69.11819641572193,133,4.836801838914106e-08,3,9.885816372919483e-08
UPPERROLLER-1,1,-60.0,107,6.83276999673742e-09,3,3.2978451258713903e-06
UPPERROLLER-1,2,-52.98587608337402,60,4.808546218981746e-08,0,
UPPERROLLER-1,3,-47.06070613861084,88,7.979276148908164e-09,3,4.867638471258336e-06
UPPERROLLER-1,4,-39.77768225040076,53,6.924745342339606e-08,3,5.652637327102639e-06
UPPERROLLER-1,5,-34.70316394682853,62,-1.8150068057817376e-08,0,
UPPERROLLER-1,6,-27.39611106695131,86,-1.019431468439824e-07,3,6.109810636682293e-06
UPPERROLLER-1,7,-19.192533133686453,69,1.0510343312583482e-07,3,6.278894829847559e-06
UPPERROLLER-1,8,-14.366966383797783,28,-3.799366116956955e-08,0,
UPPERROLLER-1,9,-8.450546311169136,82,8.84823704820253e-08,3,6.348637948387174e-06
UPPERROLLER-1,10,-0.05163646227604634,74,-1.1264272897020615e-07,3,6.348842307583406e-06
UPPERROLLER-1,11,7.219962774538526,51,-2.678531807160367e-07,0,
UPPERROLLER-1,12,11.765840727707435,58,-3.9501952433977686e-07,3,6.3490466738850655e-06
UPPERROLLER-1,13,19.176537649972097,70,3.4473787116391057e-07,3,6.289646395411334e-06
UPPERROLLER-1,14,26.584481732598668,58,-1.034788210980533e-07,0,
UPPERROLLER-1,15,33.065960140018674,91,7.138854824988512e-08,3,6.120970934849386e-06
UPPERROLLER-1,16,40.08363523937407,63,-1.2083744866096085e-07,3,5.8032838623489624e-06
UPPERROLLER-1,17,45.50368917213296,53,-1.7401146888198368e-07,0,
UPPERROLLER-1,18,52.02283336805261,92,3.040969991760874e-08,3,5.018693739107978e-06
UPPERROLLER-1,19,60.0,107,1.2348940694524385e-08,3,3.439375011756359e-06
UPPERROLLER-1,20,68.94340361451073,139,1.0808907531453305e-07,3,1.0171927063614324e-07
LOWERROLLER-1,0,-69.11819641572193,133,-9.99893069661939e-08,3,-1.0414082870132309e-07
LOWERROLLER-1,1,-60.0,107,-7.206441081258741e-08,3,-1.3089386664925466e-06
LOWERROLLER-1,2,-52.98587608337402,60,-5.7403061740994114e-08,0,
LOWERROLLER-1,3,-47.06070613861084,88,-1.678442851371642e-08,3,-1.9661188304098687e-06
LOWERROLLER-1,4,-39.77768225040076,53,3.694727670142798e-08,3,-2.2631875988092056e-06
LOWERROLLER-1,5,-34.70316394682853,62,-3.9988523231078296e-08,0,
LOWERROLLER-1,6,-27.39611106695131,86,2.737479807693003e-08,3,-2.4273876798967344e-06
LOWERROLLER-1,7,-19.192533133686453,69,1.566317147480929e-07,3,-2.4463014393442486e-06
LOWERROLLER-1,8,-14.366966383797783,28,1.1447922622563413e-07,0,
LOWERROLLER-1,9,-8.450546311169136,82,1.1347434021151302e-07,3,-2.451555801030736e-06
LOWERROLLER-1,10,-0.05163646227604634,74,9.633074887921573e-08,3,-2.4530848724187613e-06
LOWERROLLER-1,11,7.219962774538526,51,9.096039929982354e-09,0,
LOWERROLLER-1,12,11.765840727707435,58,-3.454601349811379e-08,3,-2.452130416941145e-06
LOWERROLLER-1,13,19.176537649972097,70,2.558250200378e-07,3,-2.447450671165067e-06
LOWERROLLER-1,14,26.584481732598668,58,-1.0826109051377302e-09,0,
LOWERROLLER-1,15,33.065960140018674,91,5.34099784863054e-08,3,-2.430353291060783e-06
LOWERROLLER-1,16,40.08363523937407,63,-1.791903119712717e-09,3,-2.2245078691677613e-06
LOWERROLLER-1,17,45.50368917213296,53,-1.1120181351005176e-07,0,
LOWERROLLER-1,18,52.02283336805261,92,-2.270491512675839e-08,3,-1.961541329364991e-06
LOWERROLLER-1,19,60.0,107,-6.91059993279519e-08,3,-1.359573372402186e-06
LOWERROLLER-1,20,68.94340361451073,139,-8.650768969589976e-08,3,-1.0816314007418744e-07
