x0_mm,z0_mm,x_final_mid_mm,final_thickness_mm,min_thickness_during_rolling_mm,min_time_in_rolling_s,rebound_final_minus_min_mm,rebound_pct_of_min_compression,final_reduction_pct,min_reduction_pct,final_le_target_0p135,top_node,bottom_node
-1.92307675,-50.00000000,-1.83162022,0.138351411,0.138351411,0.150000006,0.000000000,0.000000,7.765730,7.765730,0,70,179
-1.92307675,-47.50000000,-1.83161998,0.138363078,0.138363078,0.150000006,0.000000000,0.000000,7.757951,7.757951,0,951,1419
-1.92307675,-44.99999619,-1.83161855,0.138366282,0.138366282,0.150000006,0.000000000,0.000000,7.755816,7.755816,0,950,1418
-1.92307675,-42.50000000,-1.83161628,0.138364092,0.138364092,0.150000006,0.000000000,0.000000,7.757276,7.757276,0,949,1417
-1.92307675,-40.00000000,-1.83161342,0.138361126,0.138361126,0.150000006,0.000000000,0.000000,7.759253,7.759253,0,948,1416
-1.92307675,-37.50000000,-1.83160961,0.138349548,0.138349548,0.150000006,0.000000000,0.000000,7.766972,7.766972,0,947,1415
-1.92307675,-35.00000000,-1.83160579,0.138349429,0.138349429,0.150000006,0.000000000,0.000000,7.767051,7.767051,0,946,1414
-1.92307675,-32.50000000,-1.83160198,0.138366580,0.138366580,0.150000006,0.000000000,0.000000,7.755617,7.755617,0,945,1413
-1.92307675,-30.00000000,-1.83159888,0.138365999,0.138365999,0.150000006,0.000000000,0.000000,7.756004,7.756004,0,944,1412
-1.92307675,-27.50000191,-1.83159530,0.138349846,0.138349846,0.150000006,0.000000000,0.000000,7.766773,7.766773,0,943,1411
-1.92307675,-25.00000000,-1.83159232,0.138347402,0.138347402,0.150000006,0.000000000,0.000000,7.768402,7.768402,0,942,1410
-1.92307675,-22.49999809,-1.83158994,0.138345212,0.138345212,0.150000006,0.000000000,0.000000,7.769863,7.769863,0,941,1409
-1.92307675,-20.00000000,-1.83158755,0.138345122,0.138345122,0.150000006,0.000000000,0.000000,7.769922,7.769922,0,940,1408
-1.92307675,-17.50000000,-1.83158576,0.138345987,0.138345987,0.150000006,0.000000000,0.000000,7.769346,7.769346,0,939,1407
-1.92307675,-15.00000000,-1.83158422,0.138346627,0.138346627,0.150000006,0.000000000,0.000000,7.768919,7.768919,0,938,1406
-1.92307675,-12.50000000,-1.83158314,0.138347358,0.138347358,0.150000006,0.000000000,0.000000,7.768432,7.768432,0,937,1405
-1.92307675,-10.00000000,-1.83158207,0.138351291,0.138351291,0.150000006,0.000000000,0.000000,7.765809,7.765809,0,936,1404
-1.92307675,-7.50000000,-1.83158171,0.138363078,0.138363078,0.150000006,0.000000000,0.000000,7.757951,7.757951,0,935,1403
-1.92307675,-5.00000000,-1.83158100,0.138379380,0.138379380,0.150000006,0.000000000,0.000000,7.747084,7.747084,0,934,1402
-1.92307675,-2.50000000,-1.83158052,0.138381258,0.138381258,0.150000006,0.000000000,0.000000,7.745832,7.745832,0,933,1401
-1.92307675,0.00000000,-1.83158016,0.138372570,0.138372570,0.150000006,0.000000000,0.000000,7.751624,7.751624,0,932,1400
-1.92307675,2.50000000,-1.83158052,0.138364524,0.138364524,0.150000006,0.000000000,0.000000,7.756988,7.756988,0,931,1399
-1.92307675,5.00000000,-1.83158076,0.138359725,0.138359725,0.150000006,0.000000000,0.000000,7.760186,7.760186,0,930,1398
-1.92307675,7.50000000,-1.83158147,0.138358042,0.138358042,0.150000006,0.000000000,0.000000,7.761309,7.761309,0,929,1397
-1.92307675,10.00000000,-1.83158278,0.138356388,0.138356388,0.150000006,0.000000000,0.000000,7.762412,7.762412,0,928,1396
-1.92307675,12.50000000,-1.83158445,0.138352856,0.138352856,0.150000006,0.000000000,0.000000,7.764766,7.764766,0,927,1395
-1.92307675,15.00000000,-1.83158517,0.138348490,0.138348490,0.150000006,0.000000000,0.000000,7.767677,7.767677,0,926,1394
-1.92307675,17.50000000,-1.83158660,0.138352245,0.138352245,0.150000006,0.000000000,0.000000,7.765174,7.765174,0,925,1393
-1.92307675,20.00000000,-1.83158827,0.138369143,0.138369143,0.150000006,0.000000000,0.000000,7.753909,7.753909,0,924,1392
-1.92307675,22.49999809,-1.83159065,0.138376847,0.138376847,0.150000006,0.000000000,0.000000,7.748772,7.748772,0,923,1391
-1.92307675,25.00000000,-1.83159316,0.138357788,0.138357788,0.150000006,0.000000000,0.000000,7.761478,7.761478,0,922,1390
-1.92307675,27.50000191,-1.83159566,0.138344720,0.138344720,0.150000006,0.000000000,0.000000,7.770190,7.770190,0,921,1389
-1.92307675,30.00000000,-1.83159816,0.138342142,0.138342142,0.150000006,0.000000000,0.000000,7.771909,7.771909,0,920,1388
-1.92307675,32.50000000,-1.83160102,0.138341740,0.138341740,0.150000006,0.000000000,0.000000,7.772177,7.772177,0,919,1387
-1.92307675,35.00000000,-1.83160400,0.138341352,0.138341352,0.150000006,0.000000000,0.000000,7.772435,7.772435,0,918,1386
-1.92307675,37.50000000,-1.83160698,0.138342813,0.138342813,0.150000006,0.000000000,0.000000,7.771462,7.771462,0,917,1385
-1.92307675,40.00000000,-1.83161032,0.138343155,0.138343155,0.150000006,0.000000000,0.000000,7.771233,7.771233,0,916,1384
-1.92307675,42.50000000,-1.83161318,0.138342679,0.138342679,0.150000006,0.000000000,0.000000,7.771552,7.771552,0,915,1383
-1.92307675,44.99999619,-1.83161545,0.138343006,0.138343006,0.150000006,0.000000000,0.000000,7.771333,7.771333,0,914,1382
-1.92307675,47.50000000,-1.83161688,0.138346136,0.138346136,0.150000006,0.000000000,0.000000,7.769246,7.769246,0,913,1381
-1.92307675,50.00000000,-1.83161724,0.138348013,0.138348013,0.150000006,0.000000000,0.000000,7.767995,7.767995,0,128,223
-1.61538470,-50.00000000,-1.49035144,0.135643557,0.135643557,0.150000006,0.000000000,0.000000,9.570966,9.570966,0,69,180
-1.61538470,-47.50000000,-1.49035108,0.135646313,0.135646313,0.150000006,0.000000000,0.000000,9.569128,9.569128,0,912,1380
-1.61538470,-44.99999619,-1.49034953,0.135650441,0.135650441,0.150000006,0.000000000,0.000000,9.566376,9.566376,0,911,1379
