rolling_time_s,thickness_min_mm,thickness_mean_mm,thickness_max_mm
0.000000000,0.148268282,0.149048825,0.149754867
0.001877132,0.148078740,0.148930568,0.149719417
0.003753841,0.147887930,0.148807854,0.149681643
0.005625098,0.147694558,0.148680972,0.149641320
0.007500864,0.147494584,0.148548731,0.149598867
0.009376122,0.147289097,0.148411493,0.149552301
0.011250840,0.147079557,0.148269665,0.149501234
0.013125945,0.146864966,0.148123429,0.149447501
0.015001475,0.146647125,0.147972904,0.149389729
0.016876560,0.146425217,0.147818249,0.149328604
0.018751185,0.146200195,0.147659643,0.149264485
0.020625569,0.145971924,0.147497248,0.149197429
0.022501133,0.145740613,0.147331210,0.149127558
0.024376307,0.145506293,0.147161545,0.149052978
0.026251089,0.145267263,0.146988027,0.148973897
0.028125472,0.145024866,0.146810939,0.148891285
0.030004425,0.144780055,0.146630381,0.148805901
0.031877961,0.144535556,0.146447509,0.148717552
0.033751048,0.144288331,0.146261537,0.148625851
0.035628654,0.144037187,0.146071878,0.148530155
0.037500817,0.143784434,0.145879755,0.148430869
0.039377484,0.143529162,0.145684329,0.148328111
0.041250154,0.143272802,0.145486580,0.148222908
0.043128405,0.143013641,0.145285750,0.148115993
0.045001265,0.142754063,0.145083133,0.148006395
0.046878699,0.142490998,0.144877456,0.147893265
0.048750732,0.142225310,0.144669744,0.147777379
0.050627314,0.141956821,0.144459184,0.147658139
0.052503452,0.141687527,0.144246593,0.147536084
0.054379143,0.141417265,0.144032003,0.147411391
0.056254372,0.141145885,0.143815390,0.147283852
0.058129139,0.140873522,0.143596778,0.147153050
0.060003433,0.140600130,0.143376255,0.147019476
0.061877251,0.140325949,0.143153926,0.146883279
0.063752167,0.140050814,0.142929665,0.146744311
0.065628156,0.139774501,0.142703465,0.146602958
0.067503735,0.139496684,0.142475668,0.146460131
0.069378905,0.139218479,0.142246420,0.146315053
0.071253665,0.138938755,0.142015619,0.146167591
0.073127992,0.138657317,0.141783228,0.146017760
0.075001888,0.138374656,0.141549389,0.145865709
0.076875359,0.138091564,0.141314277,0.145711437
0.078753352,0.137807474,0.141077284,0.145554408
0.080625944,0.137523472,0.140839635,0.145395592
0.082503051,0.137238413,0.140600129,0.145234019
0.084379695,0.136953130,0.140359473,0.145070270
0.086250931,0.136668399,0.140118340,0.144904852
0.088126659,0.136382550,0.139875455,0.144736886
0.090001918,0.136096269,0.139631488,0.144567072
0.091876708,0.135809600,0.139386496,0.144395381
0.093751013,0.135522574,0.139140508,0.144221827
0.095625021,0.135235041,0.138893504,0.144046456
0.097502321,0.134946391,0.138645029,0.143868938
0.099379271,0.134657398,0.138395576,0.143689737
0.101250842,0.134368554,0.138145962,0.143510252
0.103126973,0.134079143,0.137895005,0.143329173
0.105002701,0.133789405,0.137643294,0.143146515
0.106878020,0.133498609,0.137390750,0.142962456
0.108752921,0.133207172,0.137137404,0.142776638
0.110627420,0.132915437,0.136883357,0.142589271
0.112501495,0.132623687,0.136628701,0.142400742
0.114375152,0.132332131,0.136373497,0.142211005
0.116253339,0.132039919,0.136117077,0.142019540
0.118126139,0.131748423,0.135860788,0.141827375
0.120003462,0.131456017,0.135603298,0.141633436
0.121875405,0.131164342,0.135345999,0.141438738
0.123751849,0.130871817,0.135087549,0.141242266
0.125627860,0.130579248,0.134828657,0.141044706
0.127503425,0.130286708,0.134569359,0.140846103
0.129378542,0.129994288,0.134309685,0.140646398
0.131253213,0.129701942,0.134049638,0.140445516
0.133127436,0.129409656,0.133789226,0.140243560
0.135001197,0.129117459,0.133528471,0.140040517
0.136879459,0.128824681,0.133266711,0.139835939
0.138752311,0.128532842,0.133005345,0.139630958
0.140629649,0.128240392,0.132743010,0.139424533
0.142501578,0.127948895,0.132481101,0.139217794
0.144377977,0.127656758,0.132218252,0.139009699
0.146253914,0.127364740,0.131955171,0.138800800
0.148129359,0.127072841,0.131691870,0.138591155
0.150000006,0.126781732,0.131428976,0.138381258
